bin_code	bin_name	n_genes_test	n_genes_background	expected	fold_enrichment	pvalue	genes	fdr_bh
1	photosynthesis	2	258	0.6599655653029434	3.030461140926257	0.1416172663710418	AT2G39470;AT4G15510	1.0
27	RNA	3	520	1.3301631548741495	2.2553624260355027	0.14901130514390518	AT1G20920;AT3G49430;AT5G52040	0.6705508731475733
34	transport	2	276	0.7060096745101254	2.8328223708658493	0.15752947485275604	AT1G54370;AT5G26240	0.4725884245582681
17	hormone metabolism	3	721	1.8443223743543495	1.6266136775845512	0.2809632807263879	AT2G47000;AT3G15010;AT3G56860	0.6321673816343727
33	development	3	1373	3.5121423300811676	0.8541795058546697	0.6849138351353594	AT1G06150;AT2G02080;AT3G02150	1.0
20	stress	7	3342	8.548856276133476	0.8188229833202902	0.7568721414044357	AT1G01060;AT2G46270;AT3G11820;AT3G16800;AT4G21400;AT5G42900;AT5G56140	1.0
30	signalling	3	1800	4.60441092071821	0.6515491452991452	0.8422944560184414	AT2G27060;AT4G16990;AT5G61530	1.0
2	major CHO metabolism	1	730	1.8673444289579404	0.5355198454513523	0.8475649265761356	AT1G02850	0.9535105423981525
29	protein	3	1981	5.067410018857096	0.5920184056226458	0.8852816574269504	AT1G11870;AT1G73990;AT4G16660	0.8852816574269504
