go_id	go_name	namespace	n_genes_test	n_genes_background	expected	fold_enrichment	pvalue	genes	fdr_bh
GO:0003676	nucleic acid binding	molecular_function	14	1038	2.6552102976141674	5.272652042883257	5.350240272016802e-07	AT1G09140;AT1G20920;AT2G36000;AT3G15010;AT3G49430;AT3G56860;AT3G62310;AT4G02430;AT4G14300;AT5G10350;AT5G19030;AT5G19210;AT5G52040;AT5G56140	0.00019046855368379814
GO:0009507	chloroplast	cellular_component	40	8296	21.221218332376814	1.8849059169695621	4.446854299324295e-05	AT1G10910;AT1G11870;AT1G19800;AT1G31500;AT1G31830;AT1G54730;AT1G73350;AT1G73990;AT1G80380;AT1G80860;AT2G02080;AT2G26800;AT2G27060;AT2G27350;AT2G36000;AT2G39470;AT3G02150;AT3G08840;AT3G15520;AT3G19780	0.007915400652797245
GO:0042752	regulation of circadian rhythm	biological_process	4	84	0.21487250963351645	18.615689865689866	6.77809750659309e-05	AT1G01060;AT1G31500;AT3G63180;AT5G42900	0.008043342374490467
GO:0080120	CAAX-box protein maturation	biological_process	2	10	0.02558006067065672	78.18589743589743	0.0002886555023975453	AT1G14270;AT3G26085	0.02569033971338153
GO:0016607	nuclear speck	cellular_component	5	231	0.5908994014921702	8.46167721167721	0.0003386536857014062	AT1G09140;AT3G49430;AT4G02430;AT5G10350;AT5G52040	0.02411214242194012
GO:0004175	endopeptidase activity	molecular_function	3	72	0.18417643682872836	16.288728632478634	0.0008602901193097548	AT1G14270;AT3G26085;AT3G59950	0.051043880412378784
GO:0005515	protein binding	molecular_function	36	8510	21.76863163072887	1.6537557624514145	0.0014364826554611498	AT1G09140;AT1G10910;AT1G19800;AT1G61150;AT1G69840;AT1G76510;AT1G78290;AT2G02080;AT2G26800;AT2G27350;AT2G36000;AT2G46270;AT3G02150;AT3G11820;AT3G15520;AT3G43300;AT3G56860;AT3G59210;AT4G05590;AT4G15510	0.07305540362059561
GO:0045824	negative regulation of innate immune response	biological_process	2	29	0.07418217594490449	26.960654288240494	0.002522533741397321	AT5G26240;AT5G60120	0.1122527514921808
GO:0008559	ABC-type xenobiotic transporter activity	molecular_function	2	33	0.08441420021316717	23.692696192696193	0.003258625766551981	AT2G47000;AT3G21250	0.1288967525436117
GO:0009543	chloroplast thylakoid lumen	cellular_component	3	130	0.3325407887185374	9.021449704142011	0.004632242166365922	AT2G39470;AT3G15520;AT4G15510	0.1649078211226268
GO:2000070	regulation of response to water deprivation	biological_process	2	41	0.10487824874969255	19.069731081926204	0.004993450104169343	AT4G05590;AT4G14300	0.16160620337129875
GO:0030002	intracellular monoatomic anion homeostasis	biological_process	1	2	0.005116012134131344	195.4647435897436	0.00510951057732308	AT5G26240	0.11735392035658171
GO:0001052	plastid PEP RNA polymerase core enzyme binding	molecular_function	1	2	0.005116012134131344	195.4647435897436	0.00510951057732308	AT2G36000	0.11735392035658171
GO:0043175	RNA polymerase core enzyme binding	molecular_function	1	2	0.005116012134131344	195.4647435897436	0.00510951057732308	AT5G26760	0.11735392035658171
GO:0140934	histone deubiquitinase activity	molecular_function	1	2	0.005116012134131344	195.4647435897436	0.00510951057732308	AT2G27350	0.11735392035658171
GO:0043190	ATP-binding cassette (ABC) transporter complex	cellular_component	1	2	0.005116012134131344	195.4647435897436	0.00510951057732308	AT1G19800	0.11735392035658171
GO:0000773	phosphatidyl-N-methylethanolamine N-methyltransferase activity	molecular_function	1	2	0.005116012134131344	195.4647435897436	0.00510951057732308	AT1G80860	0.11735392035658171
GO:0072660	maintenance of protein location in plasma membrane	biological_process	1	2	0.005116012134131344	195.4647435897436	0.00510951057732308	AT3G11820	0.11735392035658171
GO:0004608	phosphatidylethanolamine N-methyltransferase activity	molecular_function	1	2	0.005116012134131344	195.4647435897436	0.00510951057732308	AT1G80860	0.11735392035658171
GO:0009693	ethylene biosynthetic process	biological_process	2	44	0.11255226695088956	17.769522144522146	0.005731922307826748	AT3G15010;AT3G56860	0.10202821707931611
GO:0009654	photosystem II oxygen evolving complex	cellular_component	2	48	0.12278429121915226	16.28872863247863	0.006789170633764359	AT2G39470;AT4G15510	0.1124160346800052
GO:0019898	extrinsic component of membrane	cellular_component	2	48	0.12278429121915226	16.28872863247863	0.006789170633764359	AT2G39470;AT4G15510	0.1124160346800052
GO:0042908	xenobiotic transport	biological_process	2	50	0.1279003033532836	15.637179487179488	0.00734841769318067	AT2G47000;AT3G21250	0.11374072603357907
GO:0008716	D-alanine-D-alanine ligase activity	molecular_function	1	3	0.007674018201197016	130.30982905982904	0.007654529949114196	AT3G08840	0.10686324164253544
GO:0008887	glycerate kinase activity	molecular_function	1	3	0.007674018201197016	130.30982905982904	0.007654529949114196	AT1G80380	0.10686324164253544
GO:0004419	hydroxymethylglutaryl-CoA lyase activity	molecular_function	1	3	0.007674018201197016	130.30982905982904	0.007654529949114196	AT2G26800	0.10686324164253544
GO:0008478	pyridoxal kinase activity	molecular_function	1	3	0.007674018201197016	130.30982905982904	0.007654529949114196	AT5G37850	0.10686324164253544
GO:0005524	ATP binding	molecular_function	17	3537	9.047667459211281	1.8789373146879509	0.009332725144599688	AT1G11870;AT1G20920;AT1G78290;AT1G80380;AT2G27060;AT2G47000;AT3G08840;AT3G21250;AT3G62310;AT4G16660;AT4G21400;AT4G24100;AT4G24740;AT4G32660;AT4G38510;AT5G19210;AT5G57565	0.1186589339813389
GO:0006551	L-leucine metabolic process	biological_process	1	4	0.010232024268262687	97.7323717948718	0.010193080559588404	AT4G20930	0.10996171755192338
GO:1902275	regulation of chromatin organization	biological_process	1	4	0.010232024268262687	97.7323717948718	0.010193080559588404	AT2G27350	0.10996171755192338
GO:0030366	molybdopterin synthase activity	molecular_function	1	4	0.010232024268262687	97.7323717948718	0.010193080559588404	AT2G43760	0.10996171755192338
GO:0031338	regulation of vesicle fusion	biological_process	1	4	0.010232024268262687	97.7323717948718	0.010193080559588404	AT3G43300	0.10996171755192338
GO:1990140	molybdopterin synthase complex	cellular_component	1	4	0.010232024268262687	97.7323717948718	0.010193080559588404	AT2G43760	0.10996171755192338
GO:0032324	molybdopterin cofactor biosynthetic process	biological_process	1	4	0.010232024268262687	97.7323717948718	0.010193080559588404	AT2G43760	0.10996171755192338
GO:0016833	oxo-acid-lyase activity	molecular_function	1	4	0.010232024268262687	97.7323717948718	0.010193080559588404	AT2G26800	0.10996171755192338
GO:0004532	RNA exonuclease activity	molecular_function	1	4	0.010232024268262687	97.7323717948718	0.010193080559588404	AT1G31500	0.10996171755192338
GO:0042816	vitamin B6 metabolic process	biological_process	1	4	0.010232024268262687	97.7323717948718	0.010193080559588404	AT5G37850	0.10996171755192338
GO:0004712	protein serine/threonine/tyrosine kinase activity	molecular_function	2	66	0.16882840042633435	11.846348096348096	0.012528739875929343	AT4G24740;AT4G32660	0.11737451041660123
GO:0062052	starch granule initiation	biological_process	1	5	0.01279003033532836	78.18589743589743	0.01272517874480518	AT5G65685	0.11468768691520617
GO:0006434	seryl-tRNA aminoacylation	biological_process	1	5	0.01279003033532836	78.18589743589743	0.01272517874480518	AT1G11870	0.11468768691520617
GO:0003723	RNA binding	molecular_function	11	2015	5.154382225137329	2.1341063816249917	0.014924731513323429	AT1G09140;AT2G39780;AT3G15010;AT3G49430;AT3G56860;AT4G02430;AT4G14300;AT5G10350;AT5G19030;AT5G52040;AT5G56140	0.12959035167666197
GO:0005654	nucleoplasm	cellular_component	4	368	0.9413462326801673	4.2492335562987735	0.015122903914822823	AT1G09140;AT3G49430;AT4G02430;AT5G05550	0.12818461413516488
GO:0032940	secretion by cell	biological_process	1	6	0.015348036402394032	65.15491452991452	0.0152508407998365	AT3G11820	0.11802824619003902
GO:0042754	negative regulation of circadian rhythm	biological_process	1	6	0.015348036402394032	65.15491452991452	0.0152508407998365	AT1G01060	0.11802824619003902
GO:0140899	plastid gene expression	biological_process	1	6	0.015348036402394032	65.15491452991452	0.0152508407998365	AT2G36000	0.11802824619003902
GO:0008676	3-deoxy-8-phosphooctulonate synthase activity	molecular_function	1	6	0.015348036402394032	65.15491452991452	0.0152508407998365	AT1G79500	0.11802824619003902
GO:0004828	serine-tRNA ligase activity	molecular_function	1	6	0.015348036402394032	65.15491452991452	0.0152508407998365	AT1G11870	0.11802824619003902
GO:0010054	trichoblast differentiation	biological_process	1	6	0.015348036402394032	65.15491452991452	0.0152508407998365	AT5G37850	0.11802824619003902
GO:0046364	monosaccharide biosynthetic process	biological_process	1	6	0.015348036402394032	65.15491452991452	0.0152508407998365	AT1G79500	0.11802824619003902
GO:0003724	RNA helicase activity	molecular_function	3	211	0.5397392801508568	5.5582391542107175	0.017208517515793043	AT1G20920;AT3G62310;AT5G19210	0.12252464471244646
GO:0012501	programmed cell death	biological_process	2	79	0.20208247929818807	9.896949042518663	0.017611366627809672	AT3G15010;AT3G56860	0.12293424548039693
GO:0009443	pyridoxal 5'-phosphate salvage	biological_process	1	7	0.017906042469459704	55.84706959706959	0.01777008297886905	AT5G37850	0.12165672193225735
GO:0050563	trans-feruloyl-CoA synthase activity	molecular_function	1	8	0.020464048536525375	48.8661858974359	0.02028292149530607	AT3G21230	0.1289414295058743
GO:0010507	negative regulation of autophagy	biological_process	1	8	0.020464048536525375	48.8661858974359	0.02028292149530607	AT2G39780	0.1289414295058743
GO:0010589	leaf proximal/distal pattern formation	biological_process	1	8	0.020464048536525375	48.8661858974359	0.02028292149530607	AT1G14760	0.1289414295058743
GO:0048598	embryonic morphogenesis	biological_process	1	8	0.020464048536525375	48.8661858974359	0.02028292149530607	AT2G36000	0.1289414295058743
GO:0033897	ribonuclease T2 activity	molecular_function	1	8	0.020464048536525375	48.8661858974359	0.02028292149530607	AT2G39780	0.1289414295058743
GO:0030835	negative regulation of actin filament depolymerization	biological_process	1	8	0.020464048536525375	48.8661858974359	0.02028292149530607	AT4G38510	0.1289414295058743
GO:0050307	sucrose-phosphate phosphatase activity	molecular_function	1	8	0.020464048536525375	48.8661858974359	0.02028292149530607	AT3G52340	0.1289414295058743
GO:0009523	photosystem II	cellular_component	2	89	0.2276625399688448	8.78493229616825	0.022016428243782728	AT2G39470;AT4G15510	0.13063080757977752
GO:0008442	3-hydroxyisobutyrate dehydrogenase activity	molecular_function	1	9	0.023022054603591045	43.43660968660969	0.022789372521869068	AT4G20930	0.13300027242271126
GO:0004713	protein tyrosine kinase activity	molecular_function	2	91	0.23277855210297616	8.59185686108763	0.022946711499201876	AT4G24740;AT4G32660	0.13175853699541723
GO:0051693	actin filament capping	biological_process	1	10	0.02558006067065672	39.092948717948715	0.02528945219069924	AT4G38510	0.13745106839525084
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	molecular_function	1	10	0.02558006067065672	39.092948717948715	0.02528945219069924	AT5G05800	0.13745106839525084
GO:0019786	protein-phosphatidylethanolamide deconjugating activity	molecular_function	1	10	0.02558006067065672	39.092948717948715	0.02528945219069924	AT3G59950	0.13745106839525084
GO:2000071	regulation of defense response by callose deposition	biological_process	1	10	0.02558006067065672	39.092948717948715	0.02528945219069924	AT4G16990	0.13745106839525084
GO:0106286	(E)-caffeate-CoA ligase activity	molecular_function	1	10	0.02558006067065672	39.092948717948715	0.02528945219069924	AT3G21230	0.13745106839525084
GO:1902047	polyamine transmembrane transport	biological_process	1	10	0.02558006067065672	39.092948717948715	0.02528945219069924	AT1G31830	0.13745106839525084
GO:0010150	leaf senescence	biological_process	3	254	0.6497335410346806	4.617277407631739	0.027812543165236236	AT3G02150;AT3G15010;AT3G56860	0.14349659951918986
GO:0008615	pyridoxine biosynthetic process	biological_process	1	12	0.030696072804788064	32.57745726495726	0.03027056178143084	AT5G37850	0.1466165985603997
GO:0010445	nuclear dicing body	cellular_component	1	12	0.030696072804788064	32.57745726495726	0.03027056178143084	AT5G52040	0.1466165985603997
GO:0060919	auxin import into cell	biological_process	1	12	0.030696072804788064	32.57745726495726	0.03027056178143084	AT2G47000	0.1466165985603997
GO:0006850	pyruvate import into mitochondria	biological_process	1	12	0.030696072804788064	32.57745726495726	0.03027056178143084	AT4G05590	0.1466165985603997
GO:0033180	proton-transporting V-type ATPase, V1 domain	cellular_component	1	12	0.030696072804788064	32.57745726495726	0.03027056178143084	AT4G38510	0.1466165985603997
GO:0033843	xyloglucan 6-xylosyltransferase activity	molecular_function	1	12	0.030696072804788064	32.57745726495726	0.03027056178143084	AT1G18690	0.1466165985603997
GO:0010148	transpiration	biological_process	1	12	0.030696072804788064	32.57745726495726	0.03027056178143084	AT3G11820	0.1466165985603997
GO:0009854	oxidative photosynthetic carbon pathway	biological_process	1	12	0.030696072804788064	32.57745726495726	0.03027056178143084	AT1G80380	0.1466165985603997
GO:0031977	thylakoid lumen	cellular_component	2	108	0.27626465524309257	7.239434947768281	0.03148100500651443	AT3G15520;AT4G15510	0.14368253567075817
