go_id	go_name	namespace	n_genes_test	n_genes_background	expected	fold_enrichment	pvalue	genes	fdr_bh
GO:0010328	auxin influx transmembrane transporter activity	molecular_function	1	13	0.033254078871853734	30.071499013806704	0.03275162376562214	AT2G47000	0.1475895957033099
GO:0009534	chloroplast thylakoid	cellular_component	4	472	1.2073788636549971	3.3129617557583657	0.03360241789251738	AT1G73990;AT2G39470;AT3G15520;AT4G15510	0.14953075962170234
GO:0035145	exon-exon junction complex	cellular_component	1	14	0.03581208493891941	27.923534798534796	0.03522637851686147	AT1G80000	0.149292747047651
GO:1902882	regulation of response to oxidative stress	biological_process	1	14	0.03581208493891941	27.923534798534796	0.03522637851686147	AT4G38930	0.149292747047651
GO:0048193	Golgi vesicle transport	biological_process	1	14	0.03581208493891941	27.923534798534796	0.03522637851686147	AT5G11980	0.149292747047651
GO:0034614	cellular response to reactive oxygen species	biological_process	1	14	0.03581208493891941	27.923534798534796	0.03522637851686147	AT4G38930	0.149292747047651
GO:0044375	regulation of peroxisome size	biological_process	1	14	0.03581208493891941	27.923534798534796	0.03522637851686147	AT4G33650	0.149292747047651
GO:0006862	nucleotide transport	biological_process	1	14	0.03581208493891941	27.923534798534796	0.03522637851686147	AT5G05310	0.149292747047651
GO:0015846	polyamine transport	biological_process	1	14	0.03581208493891941	27.923534798534796	0.03522637851686147	AT1G31830	0.149292747047651
GO:0015203	polyamine transmembrane transporter activity	molecular_function	1	15	0.038370091005985076	26.061965811965813	0.03769484196590065	AT1G31830	0.15249276977114354
GO:0005247	voltage-gated chloride channel activity	molecular_function	1	16	0.04092809707305075	24.43309294871795	0.040157030003514546	AT5G26240	0.15796577548343843
GO:0032012	regulation of ARF protein signal transduction	biological_process	1	16	0.04092809707305075	24.43309294871795	0.040157030003514546	AT3G43300	0.15796577548343843
GO:0036092	phosphatidylinositol-3-phosphate biosynthetic process	biological_process	1	16	0.04092809707305075	24.43309294871795	0.040157030003514546	AT3G14205	0.15796577548343843
GO:0080162	endoplasmic reticulum to cytosol auxin transport	biological_process	1	16	0.04092809707305075	24.43309294871795	0.040157030003514546	AT1G76520	0.15796577548343843
GO:0009011	alpha-1,4-glucan glucosyltransferase (ADP-glucose donor) activity	molecular_function	1	17	0.043486103140116424	22.995852187028657	0.04261295848060048	AT5G65685	0.16224826972292802
GO:0010306	rhamnogalacturonan II biosynthetic process	biological_process	1	17	0.043486103140116424	22.995852187028657	0.04261295848060048	AT1G79500	0.16224826972292802
GO:0043813	phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity	molecular_function	1	18	0.04604410920718209	21.718304843304846	0.045062643208277714	AT3G14205	0.1662414609548898
GO:0015108	chloride transmembrane transporter activity	molecular_function	1	18	0.04604410920718209	21.718304843304846	0.045062643208277714	AT5G26240	0.1662414609548898
GO:0035925	mRNA 3'-UTR AU-rich region binding	molecular_function	1	18	0.04604410920718209	21.718304843304846	0.045062643208277714	AT3G56860	0.1662414609548898
GO:0000741	karyogamy	biological_process	1	18	0.04604410920718209	21.718304843304846	0.045062643208277714	AT2G20585	0.1662414609548898
GO:0006777	Mo-molybdopterin cofactor biosynthetic process	biological_process	1	19	0.048602115274247765	20.57523616734143	0.04750609995798672	AT2G43760	0.1708300160105381
GO:0016075	rRNA catabolic process	biological_process	1	20	0.05116012134131344	19.546474358974358	0.049943344461588005	AT2G39780	0.1769137375952769
GO:0009861	jasmonic acid and ethylene-dependent systemic resistance	biological_process	1	20	0.05116012134131344	19.546474358974358	0.049943344461588005	AT4G16990	0.1769137375952769
GO:0005802	trans-Golgi network	cellular_component	4	545	1.3941133065507911	2.8692072453540343	0.05202582730868942	AT1G18690;AT3G11820;AT3G43300;AT5G26240	0.1815803384499356
GO:0031053	primary miRNA processing	biological_process	1	21	0.05371812740837911	18.615689865689866	0.05237439241146076	AT5G52040	0.1810221718299032
GO:0071805	potassium ion transmembrane transport	biological_process	2	146	0.3734688857915881	5.3551984545135225	0.054182646935479306	AT1G54370;AT2G35060	0.18547136835606376
GO:0046034	ATP metabolic process	biological_process	1	22	0.05627613347544478	17.769522144522146	0.054799259460601414	AT4G38510	0.184042795924284
GO:0006821	chloride transport	biological_process	1	22	0.05627613347544478	17.769522144522146	0.054799259460601414	AT5G26240	0.184042795924284
GO:0016207	4-coumarate-CoA ligase activity	molecular_function	1	22	0.05627613347544478	17.769522144522146	0.054799259460601414	AT3G21230	0.184042795924284
GO:0048255	mRNA stabilization	biological_process	1	23	0.058834139542510454	16.996934225195094	0.05721796122272182	AT3G56860	0.18773819534828542
GO:0005471	ATP:ADP antiporter activity	molecular_function	1	23	0.058834139542510454	16.996934225195094	0.05721796122272182	AT5G05310	0.18773819534828542
GO:0009707	chloroplast outer membrane	cellular_component	2	154	0.3939329343281135	5.077006327006327	0.05952152860200679	AT1G19800;AT4G38930	0.19263331074831289
GO:0015385	sodium:proton antiporter activity	molecular_function	1	24	0.06139214560957613	16.28872863247863	0.05963051327234707	AT1G54370	0.18786250199075716
GO:0015866	ADP transport	biological_process	1	24	0.06139214560957613	16.28872863247863	0.05963051327234707	AT5G05310	0.18786250199075716
GO:0009819	drought recovery	biological_process	1	24	0.06139214560957613	16.28872863247863	0.05963051327234707	AT3G16800	0.18786250199075716
GO:0001222	transcription corepressor binding	molecular_function	1	24	0.06139214560957613	16.28872863247863	0.05963051327234707	AT5G60120	0.18786250199075716
GO:0045926	negative regulation of growth	biological_process	1	24	0.06139214560957613	16.28872863247863	0.05963051327234707	AT3G16800	0.18786250199075716
GO:0004843	cysteine-type deubiquitinase activity	molecular_function	2	155	0.3964909403951791	5.044251447477254	0.06020122897721631	AT2G27350;AT4G30890	0.18475549582662937
GO:0035252	UDP-xylosyltransferase activity	molecular_function	1	25	0.0639501516766418	15.637179487179488	0.06203693114491334	AT1G18690	0.18876194433836882
GO:0016887	ATP hydrolysis activity	molecular_function	6	1096	2.803574649503976	2.140124929814711	0.06343557236685059	AT1G20920;AT2G47000;AT3G21250;AT3G62310;AT4G16660;AT5G19210	0.19138189629321023
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	biological_process	1	26	0.06650815774370747	15.035749506903352	0.06443723033686535	AT1G31500	0.18880373662488942
GO:0005986	sucrose biosynthetic process	biological_process	1	26	0.06650815774370747	15.035749506903352	0.06443723033686535	AT3G52340	0.18880373662488942
GO:1902476	chloride transmembrane transport	biological_process	1	26	0.06650815774370747	15.035749506903352	0.06443723033686535	AT5G26240	0.18880373662488942
GO:1901000	regulation of response to salt stress	biological_process	1	26	0.06650815774370747	15.035749506903352	0.06443723033686535	AT4G14300	0.18880373662488942
GO:0015867	ATP transport	biological_process	1	26	0.06650815774370747	15.035749506903352	0.06443723033686535	AT5G05310	0.18880373662488942
GO:0070370	cellular heat acclimation	biological_process	1	26	0.06650815774370747	15.035749506903352	0.06443723033686535	AT5G07100	0.18880373662488942
GO:0045927	positive regulation of growth	biological_process	1	27	0.06906616381077314	14.478869895536562	0.06683142630575346	AT2G27350	0.19033590211878587
GO:0008380	RNA splicing	biological_process	2	165	0.42207100106583584	4.738539238539238	0.06714278662373775	AT3G49430;AT5G52040	0.18970501617500507
GO:0000166	nucleotide binding	molecular_function	3	364	0.9311142084119046	3.2219463229078613	0.0672945841578996	AT1G11870;AT3G08840;AT4G24100	0.1886367870882855
GO:0006814	sodium ion transport	biological_process	1	28	0.07162416987783882	13.961767399267398	0.06921953447033075	AT1G54370	0.1917677375209163
GO:0030663	COPI-coated vesicle membrane	cellular_component	1	28	0.07162416987783882	13.961767399267398	0.06921953447033075	AT3G15980	0.1917677375209163
GO:0010168	ER body	cellular_component	1	29	0.07418217594490449	13.480327144120247	0.07160157021064974	AT2G39780	0.1953268888505081
GO:0010540	basipetal auxin transport	biological_process	1	29	0.07418217594490449	13.480327144120247	0.07160157021064974	AT2G47000	0.1953268888505081
GO:1901701	cellular response to oxygen-containing compound	biological_process	1	30	0.07674018201197015	13.030982905982906	0.07397754886815905	AT2G27060	0.19951520755351984
GO:0003824	catalytic activity	molecular_function	4	620	1.5859637615807165	2.522125723738627	0.07565806018838815	AT1G31500;AT2G26800;AT3G21230;AT3G52340	0.20251330396290362
GO:0031491	nucleosome binding	molecular_function	1	32	0.0818561941461015	12.216546474358974	0.0787113961080998	AT2G27350	0.20603865451826123
GO:0009750	response to fructose	biological_process	1	32	0.0818561941461015	12.216546474358974	0.0787113961080998	AT1G28330	0.20603865451826123
GO:0006656	phosphatidylcholine biosynthetic process	biological_process	1	32	0.0818561941461015	12.216546474358974	0.0787113961080998	AT1G80860	0.20603865451826123
GO:0006574	L-valine catabolic process	biological_process	1	32	0.0818561941461015	12.216546474358974	0.0787113961080998	AT4G20930	0.20603865451826123
GO:0016559	peroxisome fission	biological_process	1	32	0.0818561941461015	12.216546474358974	0.0787113961080998	AT4G33650	0.20603865451826123
GO:0009658	chloroplast organization	biological_process	3	393	1.005296384356809	2.9841945586220398	0.08044544265456481	AT1G10910;AT1G11870;AT3G19570	0.20603293226636743
GO:0008356	asymmetric cell division	biological_process	1	34	0.08697220628023285	11.497926093514328	0.08342119815331225	AT2G02080	0.21137328500056343
GO:0031901	early endosome membrane	cellular_component	1	34	0.08697220628023285	11.497926093514328	0.08342119815331225	AT3G43300	0.21137328500056343
GO:0009737	response to abscisic acid	biological_process	5	909	2.3252275149626955	2.1503272122084005	0.08496996417197865	AT2G46270;AT3G11820;AT4G21400;AT5G42900;AT5G56140	0.21302329045932675
GO:0009620	response to fungus	biological_process	2	193	0.49369517094367465	4.05108276869935	0.08785870548358746	AT1G69840;AT3G11820	0.21872516889620372
GO:0048574	long-day photoperiodism, flowering	biological_process	1	36	0.09208821841436418	10.859152421652423	0.08810707635542717	AT1G01060	0.21782027210091714
GO:0046777	protein autophosphorylation	biological_process	2	194	0.49625317701074034	4.0302008987576	0.0886303310106643	AT4G24740;AT4G32660	0.21685496797110987
GO:0016791	phosphatase activity	molecular_function	2	194	0.49625317701074034	4.0302008987576	0.0886303310106643	AT3G14205;AT3G51830	0.21685496797110987
GO:0072659	protein localization to plasma membrane	biological_process	1	37	0.09464622448142986	10.565661815661816	0.09044108177124284	AT3G11820	0.21902738170450647
GO:0000325	plant-type vacuole	cellular_component	6	1207	3.087513322948266	1.943311452424957	0.0906905402245936	AT1G69840;AT2G39780;AT3G21250;AT4G16660;AT4G38510;AT5G10350	0.21814751567537377
GO:0006470	protein dephosphorylation	biological_process	1	38	0.09720423054849553	10.287618083670715	0.09276915145759322	AT3G16800	0.21944065062394144
GO:0106435	carboxylesterase activity	molecular_function	1	38	0.09720423054849553	10.287618083670715	0.09276915145759322	AT3G27320	0.21944065062394144
GO:0008420	RNA polymerase II CTD heptapeptide repeat phosphatase activity	molecular_function	1	38	0.09720423054849553	10.287618083670715	0.09276915145759322	AT5G26760	0.21944065062394144
GO:1900865	chloroplast RNA modification	biological_process	1	38	0.09720423054849553	10.287618083670715	0.09276915145759322	AT1G10910	0.21944065062394144
GO:0016192	vesicle-mediated transport	biological_process	3	419	1.0718045421005165	2.799017807967689	0.0931053151194195	AT3G11820;AT3G15980;AT3G43300	0.21663720380727675
GO:0006397	mRNA processing	biological_process	2	204	0.5218332376813971	3.8326420311714426	0.0964559109553397	AT1G80000;AT4G24740	0.22297600194870737
GO:0043539	protein serine/threonine kinase activator activity	molecular_function	1	40	0.10232024268262688	9.773237179487179	0.0974075435975083	AT4G24100	0.2230037654065142
GO:0010498	proteasomal protein catabolic process	biological_process	1	40	0.10232024268262688	9.773237179487179	0.0974075435975083	AT4G38930	0.2230037654065142
GO:0006886	intracellular protein transport	biological_process	3	429	1.0973846027711733	2.733772637618791	0.09818132316726773	AT3G11820;AT3G15980;AT3G43300	0.22262771367864528
GO:0015979	photosynthesis	biological_process	2	210	0.5371812740837911	3.723137973137973	0.10124261082259961	AT2G39470;AT4G15510	0.2281162623597814
GO:0017119	COG complex	cellular_component	1	42	0.10743625481675823	9.307844932844933	0.10202237231043526	AT5G11980	0.22842744995292424
GO:0009579	thylakoid	cellular_component	3	443	1.1331966877100927	2.647378017016843	0.1054717500443584	AT2G39470;AT3G15520;AT4G15510	0.23467464384869743
GO:0035196	miRNA processing	biological_process	1	44	0.11255226695088956	8.884761072261073	0.1066137565322033	AT1G20920	0.23501236734033668
GO:0006401	RNA catabolic process	biological_process	1	44	0.11255226695088956	8.884761072261073	0.1066137565322033	AT2G39780	0.23501236734033668
GO:0140359	ABC-type transporter activity	molecular_function	2	219	0.5602033286873821	3.5701323030090157	0.10854295741167591	AT2G47000;AT3G21250	0.23706314624881364
GO:0009642	response to light intensity	biological_process	1	45	0.11511027301795523	8.687321937321938	0.1089006939631771	AT1G73990	0.23639418933470152
GO:0030117	membrane coat	cellular_component	1	46	0.11766827908502091	8.498467112597547	0.11118181460219499	AT3G15980	0.23988318786897828
GO:0005774	vacuolar membrane	cellular_component	3	460	1.176682790850209	2.549540133779264	0.11460112765673836	AT3G14205;AT3G21250;AT4G38510	0.24577109304698105
GO:0015386	potassium:proton antiporter activity	molecular_function	1	48	0.12278429121915226	8.144364316239315	0.11572666426631702	AT1G54370	0.24523031237386225
GO:0060090	molecular adaptor activity	molecular_function	1	48	0.12278429121915226	8.144364316239315	0.11572666426631702	AT1G20920	0.24523031237386225
GO:0008654	phospholipid biosynthetic process	biological_process	1	48	0.12278429121915226	8.144364316239315	0.11572666426631702	AT1G80860	0.24523031237386225
GO:0008143	poly(A) binding	molecular_function	1	49	0.12534229728621793	7.978152799581371	0.11799042258022242	AT5G10350	0.24636123424374887
GO:0004535	poly(A)-specific ribonuclease activity	molecular_function	1	49	0.12534229728621793	7.978152799581371	0.11799042258022242	AT1G31500	0.24636123424374887
GO:0035091	phosphatidylinositol binding	molecular_function	1	53	0.1355743215544806	7.3760280599903245	0.12698801903791215	AT4G33650	0.2613163859970909
GO:0010197	polar nucleus fusion	biological_process	1	53	0.1355743215544806	7.3760280599903245	0.12698801903791215	AT2G20585	0.2613163859970909
GO:0015079	potassium ion transmembrane transporter activity	molecular_function	1	53	0.1355743215544806	7.3760280599903245	0.12698801903791215	AT2G35060	0.2613163859970909
GO:0009941	chloroplast envelope	cellular_component	5	1035	2.64753627941297	1.8885482472438995	0.12744337677975487	AT1G19800;AT1G73990;AT1G80380;AT4G33650;AT4G38510	0.25925624076338705
GO:0043495	protein-membrane adaptor activity	molecular_function	1	56	0.14324833975567763	6.980883699633699	0.133676313175788	AT3G11820	0.2681057323412987
GO:0031348	negative regulation of defense response	biological_process	1	56	0.14324833975567763	6.980883699633699	0.133676313175788	AT3G11820	0.2681057323412987
GO:2000067	regulation of root morphogenesis	biological_process	1	56	0.14324833975567763	6.980883699633699	0.133676313175788	AT3G43300	0.2681057323412987
GO:0051017	actin filament bundle assembly	biological_process	1	56	0.14324833975567763	6.980883699633699	0.133676313175788	AT4G38510	0.2681057323412987
GO:0006952	defense response	biological_process	4	765	1.956874641305239	2.044075749958103	0.13377338213951204	AT3G11820;AT3G15010;AT3G56860;AT4G16990	0.2645740224537016
