go_id	go_name	namespace	n_genes_test	n_genes_background	expected	fold_enrichment	pvalue	genes	fdr_bh
GO:0009734	auxin-activated signaling pathway	biological_process	2	387	0.05711240468967779	35.018662072925636	0.0014039759734773053	AT2G45950;AT5G17300	0.06458289477995605
GO:0052847	inositol-1,5-bisdiphosphate-2,3,4,6-tetrakisphosphate 5-diphosphatase activity	molecular_function	1	10	0.0014757727309994261	677.6111111111111	0.0014749018212707977	AT3G02800	0.022615161259485567
GO:0052848	inositol-3,5-bisdiphosphate-2,3,4,6-tetrakisphosphate 5-diphosphatase activity	molecular_function	1	10	0.0014757727309994261	677.6111111111111	0.0014749018212707977	AT3G02800	0.022615161259485567
GO:0052845	inositol-5-diphosphate-1,2,3,4,6-pentakisphosphate diphosphatase activity	molecular_function	1	10	0.0014757727309994261	677.6111111111111	0.0014749018212707977	AT3G02800	0.022615161259485567
GO:0071277	cellular response to calcium ion	biological_process	1	15	0.002213659096499139	451.7407407407407	0.002211627362492446	AT5G23060	0.020346971734930504
GO:0008486	diphosphoinositol-polyphosphate diphosphatase activity	molecular_function	1	16	0.002361236369599082	423.5069444444444	0.002358914476708252	AT3G02800	0.0180850109880966
GO:0010600	regulation of auxin biosynthetic process	biological_process	1	18	0.002656390915798967	376.45061728395063	0.0026534307288657547	AT5G17300	0.01743683050397496
GO:0043484	regulation of RNA splicing	biological_process	1	33	0.004870050012298106	205.33670033670035	0.004859840325203828	AT1G07350	0.027944081869922012
GO:0009704	de-etiolation	biological_process	1	36	0.005312781831597934	188.22530864197532	0.005300601216370439	AT5G23060	0.027091961772560024
GO:0090333	regulation of stomatal closure	biological_process	1	94	0.013872263671394606	72.08628841607565	0.013787940615524706	AT5G23060	0.06342452683141366
GO:0009725	response to hormone	biological_process	1	105	0.015495613675493973	64.53439153439153	0.015390326475321264	AT4G30850	0.0643595470786162
GO:0009644	response to high light intensity	biological_process	1	108	0.015938345494793803	62.7417695473251	0.015826938957298687	AT1G07350	0.06066993266964497
GO:0009744	response to sucrose	biological_process	1	142	0.020955972780191852	47.71909233176839	0.020763199707403424	AT4G30850	0.07346978358004289
GO:0008380	RNA splicing	biological_process	1	165	0.024350250061490532	41.06734006734006	0.02408994348555775	AT1G07350	0.0791526714525469
GO:0016791	phosphatase activity	molecular_function	1	194	0.028629990981388867	34.92840778923253	0.028270212305473715	AT3G02800	0.08669531773678606
