GO_ID	term	ontology	p_value	fold_enrichment	gene_count	genes	FDR
GO:0009635	response to herbicide	biological_process	5.446127015604261e-05	179.7799043062201	2	AT3G59410,AT5G11630	0.008495958144342647
GO:0006644	phospholipid metabolic process	biological_process	0.00016846233566136947	104.08310249307479	2	AT1G78690,AT3G02600	0.01314006218158682
GO:1990611	regulation of cytoplasmic translational initiation in response to stress	biological_process	0.001011337627082557	988.7894736842105	1	AT3G59410	0.01577686698248789
GO:0048311	mitochondrion distribution	biological_process	0.001011337627082557	988.7894736842105	1	AT5G11630	0.01577686698248789
GO:0060867	fruit abscission	biological_process	0.001011337627082557	988.7894736842105	1	AT5G13790	0.01577686698248789
GO:0019372	lipoxygenase pathway	biological_process	0.001011337627082557	988.7894736842105	1	AT5G11630	0.01577686698248789
GO:0071433	cell wall repair	biological_process	0.001011337627082557	988.7894736842105	1	AT5G11630	0.01577686698248789
GO:0034595	phosphatidylinositol phosphate 5-phosphatase activity	molecular_function	0.001011337627082557	988.7894736842105	1	AT2G01900	0.01577686698248789
GO:2000369	regulation of clathrin-dependent endocytosis	biological_process	0.001011337627082557	988.7894736842105	1	AT2G01900	0.01577686698248789
GO:0010821	regulation of mitochondrion organization	biological_process	0.001011337627082557	988.7894736842105	1	AT5G11630	0.01577686698248789
GO:0008265	molybdenum cofactor sulfurtransferase activity	molecular_function	0.0020216793397531147	494.39473684210526	1	AT1G16540	0.01659905142113084
GO:0009000	selenocysteine lyase activity	molecular_function	0.0020216793397531147	494.39473684210526	1	AT1G16540	0.01659905142113084
GO:0018315	molybdenum incorporation into molybdenum-molybdopterin complex	biological_process	0.0020216793397531147	494.39473684210526	1	AT1G16540	0.01659905142113084
GO:0070772	PAS complex	cellular_component	0.0020216793397531147	494.39473684210526	1	AT2G01690	0.01659905142113084
GO:0070988	demethylation	biological_process	0.0020216793397531147	494.39473684210526	1	AT2G17970	0.01659905142113084
GO:1990931	mRNA N6-methyladenosine dioxygenase activity	molecular_function	0.0020216793397531147	494.39473684210526	1	AT2G17970	0.01659905142113084
GO:2000692	negative regulation of seed maturation	biological_process	0.0020216793397531147	494.39473684210526	1	AT5G13790	0.01659905142113084
GO:0018105	peptidyl-serine phosphorylation	biological_process	0.0020216793397531147	494.39473684210526	1	AT3G59410	0.01659905142113084
GO:0004694	eukaryotic translation initiation factor 2alpha kinase activity	molecular_function	0.0020216793397531147	494.39473684210526	1	AT3G59410	0.01659905142113084
GO:0034198	cellular response to amino acid starvation	biological_process	0.0030310260922573563	329.59649122807014	1	AT3G59410	0.022516193828197504
GO:0006434	seryl-tRNA aminoacylation	biological_process	0.0030310260922573563	329.59649122807014	1	AT1G11870	0.022516193828197504
GO:0006650	glycerophospholipid metabolic process	biological_process	0.00403937883795202	247.19736842105263	1	AT1G78690	0.02423627302771212
GO:0004828	serine-tRNA ligase activity	molecular_function	0.00403937883795202	247.19736842105263	1	AT1G11870	0.02423627302771212
GO:0031407	oxylipin metabolic process	biological_process	0.00403937883795202	247.19736842105263	1	AT5G11630	0.02423627302771212
GO:0052717	tRNA-specific adenosine-34 deaminase activity	molecular_function	0.00403937883795202	247.19736842105263	1	AT1G48175	0.02423627302771212
GO:0140999	histone H3K4 trimethyltransferase activity	molecular_function	0.00403937883795202	247.19736842105263	1	AT1G76710	0.02423627302771212
GO:0071617	lysophospholipid acyltransferase activity	molecular_function	0.005046738529305703	197.75789473684208	1	AT1G78690	0.027147972778334126
GO:0010226	response to lithium ion	biological_process	0.005046738529305703	197.75789473684208	1	AT5G37370	0.027147972778334126
GO:0030151	molybdenum ion binding	molecular_function	0.005046738529305703	197.75789473684208	1	AT1G16540	0.027147972778334126
GO:0006521	regulation of amino acid metabolic process	biological_process	0.006053106117899662	164.79824561403507	1	AT3G59410	0.027773075129186683
GO:0008251	tRNA-specific adenosine deaminase activity	molecular_function	0.006053106117899662	164.79824561403507	1	AT1G48175	0.027773075129186683
GO:0019781	NEDD8 activating enzyme activity	molecular_function	0.006053106117899662	164.79824561403507	1	AT2G32410	0.027773075129186683
GO:0060862	negative regulation of floral organ abscission	biological_process	0.006053106117899662	164.79824561403507	1	AT5G13790	0.027773075129186683
GO:0001680	tRNA 3'-terminal CCA addition	biological_process	0.006053106117899662	164.79824561403507	1	AT1G28090	0.027773075129186683
GO:0004594	pantothenate kinase activity	molecular_function	0.007058482554428615	141.25563909774436	1	AT1G60440	0.03058675773585733
GO:0048577	negative regulation of short-day photoperiodism, flowering	biological_process	0.007058482554428615	141.25563909774436	1	AT5G13790	0.03058675773585733
GO:0032787	monocarboxylic acid metabolic process	biological_process	0.009066265769642553	109.86549707602339	1	AT1G16540	0.03626506307857021
GO:0033926	endo-alpha-N-acetylgalactosaminidase activity	molecular_function	0.009066265769642553	109.86549707602339	1	AT1G22650	0.03626506307857021
GO:0006661	phosphatidylinositol biosynthetic process	biological_process	0.009066265769642553	109.86549707602339	1	AT2G01690	0.03626506307857021
GO:0032451	demethylase activity	molecular_function	0.010068674445291529	98.87894736842104	1	AT2G17970	0.039267830336636965
GO:0006777	Mo-molybdopterin cofactor biosynthetic process	biological_process	0.011070095762805068	89.88995215311004	1	AT1G16540	0.04212036436579489
GO:0004445	inositol-polyphosphate 5-phosphatase activity	molecular_function	0.012070530668457263	82.39912280701753	1	AT2G01900	0.044833399625698406
GO:0008641	ubiquitin-like modifier activating enzyme activity	molecular_function	0.01306998010764045	76.06072874493927	1	AT2G32410	0.04741667201841651
GO:0009688	abscisic acid biosynthetic process	biological_process	0.014068445024866018	70.62781954887218	1	AT1G16540	0.04987903236088861
GO:0045116	protein neddylation	biological_process	0.015065926363765258	65.91929824561403	1	AT2G32410	0.05000605346271022
GO:0034061	DNA polymerase activity	molecular_function	0.015065926363765258	65.91929824561403	1	AT1G49980	0.05000605346271022
GO:0010047	fruit dehiscence	biological_process	0.015065926363765258	65.91929824561403	1	AT5G13790	0.05000605346271022
GO:0006281	DNA repair	biological_process	0.015868439212165332	10.40831024930748	2	AT1G49980,AT1G76710	0.05157242743953733
GO:0052543	callose deposition in cell wall	biological_process	0.017057942076713867	58.1640866873065	1	AT5G11630	0.05322077927934726
GO:0045487	gibberellin catabolic process	biological_process	0.017057942076713867	58.1640866873065	1	AT5G13790	0.05322077927934726
GO:0008195	phosphatidate phosphatase activity	molecular_function	0.01805247833363228	54.932748538011694	1	AT3G02600	0.055219345491110496
GO:0004564	beta-fructofuranosidase activity	molecular_function	0.019046034777964	52.041551246537395	1	AT1G22650	0.05606002689362988
GO:2000023	regulation of lateral root development	biological_process	0.019046034777964	52.041551246537395	1	AT5G11630	0.05606002689362988
GO:0016779	nucleotidyltransferase activity	molecular_function	0.020038612348951546	49.43947368421052	1	AT1G28090	0.05683679138975347
GO:0034485	phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity	molecular_function	0.020038612348951546	49.43947368421052	1	AT2G01900	0.05683679138975347
