sample_name	study_id	condition	is_flight	UMAP1	UMAP2	cluster
GLDS-314_rna_seq_21H5_WT_RED_Col0_1g_Rep1	OSD-314	control_gravity	0	18.810625	4.617215	1
GLDS-314_rna_seq_22A6_WT_RED_Col0_1g_Rep2	OSD-314	control_gravity	0	18.818346	4.613111	1
GLDS-314_rna_seq_23B6_WT_RED_Col0_1g_Rep3	OSD-314	control_gravity	0	18.995909	4.7193556	1
GLDS-314_rna_seq_30H7_WT_DARK_Col0_1g_Rep1	OSD-314	control_gravity	0	19.074804	4.5348415	1
GLDS-314_rna_seq_31A8_WT_DARK_Col0_1g_Rep2	OSD-314	control_gravity	0	19.128881	4.6305633	1
GLDS-314_rna_seq_32B8_WT_DARK_Col0_1g_Rep3	OSD-314	control_gravity	0	19.25154	4.883971	1
GLDS-314_rna_seq_05G4_WT_RED_Col0_03g_Rep1	OSD-314	mars_gravity	1	18.736725	4.8824825	1
GLDS-314_rna_seq_06H4_WT_RED_Col0_03g_Rep2	OSD-314	mars_gravity	1	18.65747	4.7584634	1
GLDS-314_rna_seq_07A5_WT_RED_Col0_03g_Rep3	OSD-314	mars_gravity	1	18.698122	4.939398	1
GLDS-314_rna_seq_13I4_WT_DARK_Col0_03g_Rep1	OSD-314	mars_gravity	1	19.017986	5.133512	1
GLDS-314_rna_seq_14J4_WT_DARK_Col0_03g_Rep2	OSD-314	mars_gravity	1	18.90176	5.3318963	1
GLDS-314_rna_seq_15A7_WT_DARK_Col0_03g_Rep3	OSD-314	mars_gravity	1	19.035738	5.230987	1
GLDS-314_rna_seq_JBA1_WT_DARK_Col0_0g_Rep1	OSD-314	microgravity	1	19.06965	4.897874	1
GLDS-314_rna_seq_JBB1_WT_DARK_Col0_0g_Rep2	OSD-314	microgravity	1	19.075268	4.9297004	1
GLDS-314_rna_seq_JBH2_WT_RED_Col0_0g_Rep1	OSD-314	microgravity	1	18.43131	4.975666	1
GLDS-314_rna_seq_JBA3_WT_RED_Col0_0g_Rep2	OSD-314	microgravity	1	18.520323	4.767163	1
GLDS-314_rna_seq_JBB3_WT_RED_Col0_0g_Rep3	OSD-314	microgravity	1	18.591074	5.131781	1
GLDS-120_rna_seq_Atha_Col-0_root_GC_Alight_Rep1_GSM2493759_Day13_GLbulkRNAseq	OSD-120	ground_control	0	-3.7964354	22.397402	2
GLDS-120_rna_seq_Atha_Col-0_root_GC_Alight_Rep2_GSM2493760_Day13_GLbulkRNAseq	OSD-120	ground_control	0	-3.4041362	22.144373	2
GLDS-120_rna_seq_Atha_Ws_root_GC_Alight_Rep1_GSM2493762_Day13_GLbulkRNAseq	OSD-120	ground_control	0	-3.8511748	23.794058	2
GLDS-120_rna_seq_Atha_Ws_root_GC_Alight_Rep2_GSM2493763_Day13_GLbulkRNAseq	OSD-120	ground_control	0	-3.6145914	23.665813	2
GLDS-120_rna_seq_Atha_Ws_root_GC_Alight_Rep3_GSM2493764_Day13_GLbulkRNAseq	OSD-120	ground_control	0	-3.9268587	23.428274	2
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_GC_Alight_Rep1_GSM2493765_Day13_GLbulkRNAseq	OSD-120	ground_control	0	-4.031412	22.11573	2
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_GC_Alight_Rep2_GSM2493766_Day13_GLbulkRNAseq	OSD-120	ground_control	0	-3.8040407	21.91933	2
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_GC_Alight_Rep3_GSM2493767_Day13_GLbulkRNAseq	OSD-120	ground_control	0	-3.723599	21.987923	2
GLDS-120_rna_seq_Atha_Col-0_root_GC_dark_Rep1_GSM2493768_Day13_GLbulkRNAseq	OSD-120	ground_control	0	-4.229776	22.23163	2
GLDS-120_rna_seq_Atha_Col-0_root_GC_dark_Rep2_GSM2493769_Day13_GLbulkRNAseq	OSD-120	ground_control	0	-4.302833	22.137894	2
GLDS-120_rna_seq_Atha_Col-0_root_GC_dark_Rep3_GSM2493770_Day13_GLbulkRNAseq	OSD-120	ground_control	0	-3.9393897	22.395313	2
GLDS-120_rna_seq_Atha_Ws_root_GC_dark_Rep1_GSM2493771_Day13_GLbulkRNAseq	OSD-120	ground_control	0	-3.7325363	23.463905	2
GLDS-120_rna_seq_Atha_Ws_root_GC_dark_Rep2_GSM2493772_Day13_GLbulkRNAseq	OSD-120	ground_control	0	-3.512546	23.449059	2
GLDS-120_rna_seq_Atha_Ws_root_GC_dark_Rep3_GSM2493773_Day13_GLbulkRNAseq	OSD-120	ground_control	0	-3.9772897	23.626175	2
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_GC_dark_Rep1_GSM2493774_Day13_GLbulkRNAseq	OSD-120	ground_control	0	-4.1830764	22.497799	2
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_GC_dark_Rep2_GSM2493775_Day13_GLbulkRNAseq	OSD-120	ground_control	0	-3.8201752	21.838924	2
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_GC_dark_Rep3_GSM2493776_Day13_GLbulkRNAseq	OSD-120	ground_control	0	-3.9871938	22.6657	2
GLDS-120_rna_seq_Atha_Col-0_root_FLT_Alight_Rep1_GSM2493777_Day13_GLbulkRNAseq	OSD-120	flight	1	-3.5201535	22.285131	2
GLDS-120_rna_seq_Atha_Col-0_root_FLT_Alight_Rep2_GSM2493778_Day13_GLbulkRNAseq	OSD-120	flight	1	-4.2058873	21.958687	2
GLDS-120_rna_seq_Atha_Col-0_root_FLT_Alight_Rep3_GSM2493779_Day13_GLbulkRNAseq	OSD-120	flight	1	-3.6008945	21.883451	2
GLDS-120_rna_seq_Atha_Ws_root_FLT_Alight_Rep1_GSM2493780_Day13_GLbulkRNAseq	OSD-120	flight	1	-3.676621	23.547108	2
GLDS-120_rna_seq_Atha_Ws_root_FLT_Alight_Rep2_GSM2493781_Day13_GLbulkRNAseq	OSD-120	flight	1	-3.878513	23.996458	2
GLDS-120_rna_seq_Atha_Ws_root_FLT_Alight_Rep3_GSM2493782_Day13_GLbulkRNAseq	OSD-120	flight	1	-4.099956	23.744576	2
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_FLT_Alight_Rep1_GSM2493783_Day13_GLbulkRNAseq	OSD-120	flight	1	-3.4566991	22.576721	2
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_FLT_Alight_Rep2_GSM2493784_Day13_GLbulkRNAseq	OSD-120	flight	1	-3.9902759	22.173664	2
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_FLT_Alight_Rep3_GSM2493785_Day13_GLbulkRNAseq	OSD-120	flight	1	-3.480821	22.265053	2
GLDS-120_rna_seq_Atha_Col-0_root_FLT_dark_Rep1_GSM2493786_Day13_GLbulkRNAseq	OSD-120	flight	1	-3.6986632	22.523571	2
GLDS-120_rna_seq_Atha_Col-0_root_FLT_dark_Rep2_GSM2493787_Day13_GLbulkRNAseq	OSD-120	flight	1	-3.750262	22.41558	2
GLDS-120_rna_seq_Atha_Col-0_root_FLT_dark_Rep3_GSM2493788_Day13_GLbulkRNAseq	OSD-120	flight	1	-4.0715656	21.90371	2
GLDS-120_rna_seq_Atha_Ws_root_FLT_dark_Rep1_GSM2493789_Day13_GLbulkRNAseq	OSD-120	flight	1	-3.6920314	23.522516	2
GLDS-120_rna_seq_Atha_Ws_root_FLT_dark_Rep2_GSM2493790_Day13_GLbulkRNAseq	OSD-120	flight	1	-3.72276	23.627047	2
GLDS-120_rna_seq_Atha_Ws_root_FLT_dark_Rep3_GSM2493791_Day13_GLbulkRNAseq	OSD-120	flight	1	-3.4963229	23.783344	2
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_FLT_dark_Rep1_GSM2493792_Day13_GLbulkRNAseq	OSD-120	flight	1	-4.0496635	22.446745	2
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_FLT_dark_Rep2_GSM2493793_Day13_GLbulkRNAseq	OSD-120	flight	1	-3.722236	22.207941	2
