test_study	n_train	n_test	auc	accuracy	f1	model
OSD-120	109	36	0.5385802469135803	0.4722222222222222	0.6415094339622641	RF
OSD-314	128	17	0.5757575757575757	0.47058823529411764	0.5714285714285714	RF
OSD-37	89	56	0.5918367346938775	0.5357142857142857	0.5357142857142857	RF
OSD-678	109	36	0.3580246913580247	0.4444444444444444	0.6153846153846154	RF
OSD-120	109	36	0.4521604938271605	0.5	0.6086956521739131	GBM
OSD-314	128	17	0.4545454545454546	0.29411764705882354	0.14285714285714285	GBM
OSD-37	89	56	0.6167091836734694	0.6428571428571429	0.6428571428571429	GBM
OSD-678	109	36	0.39043209876543217	0.5	0.6666666666666666	GBM
OSD-120	109	36	0.4537037037037037	0.4722222222222222	0.6274509803921569	XGBoost
OSD-314	128	17	0.36363636363636365	0.47058823529411764	0.5263157894736842	XGBoost
OSD-37	89	56	0.6441326530612246	0.5178571428571429	0.06896551724137931	XGBoost
OSD-678	109	36	0.5277777777777778	0.6111111111111112	0.6956521739130435	XGBoost
