GO_ID	term	ontology	p_value	fold_enrichment	gene_count	genes	FDR
GO:0008934	inositol monophosphate 1-phosphatase activity	molecular_function	0.040346271738377855	24.36705577172503	1	AT5G64000	0.1918425665991496
GO:0090356	negative regulation of auxin metabolic process	biological_process	0.040346271738377855	24.36705577172503	1	AT1G27370	0.1918425665991496
GO:1901349	glucosinolate transport	biological_process	0.040346271738377855	24.36705577172503	1	AT4G01430	0.1918425665991496
GO:0004103	choline kinase activity	molecular_function	0.040346271738377855	24.36705577172503	1	AT4G09760	0.1918425665991496
GO:0008409	5'-3' exonuclease activity	molecular_function	0.040346271738377855	24.36705577172503	1	AT5G26680	0.1918425665991496
GO:0018708	thiol S-methyltransferase activity	molecular_function	0.040346271738377855	24.36705577172503	1	AT2G43920	0.1918425665991496
GO:0005654	nucleoplasm	cellular_component	0.041370724511888855	3.094229304346036	4	AT2G32320,AT3G49430,AT3G50670,AT5G26680	0.19480389697345724
GO:0008999	protein-N-terminal-alanine acetyltransferase activity	molecular_function	0.04691119422994612	20.886047804335742	1	AT2G06025	0.20134450620817582
GO:1902065	response to L-glutamate	biological_process	0.04691119422994612	20.886047804335742	1	AT4G12020	0.20134450620817582
GO:0000014	single-stranded DNA endonuclease activity	molecular_function	0.04691119422994612	20.886047804335742	1	AT4G21585	0.20134450620817582
GO:2000122	negative regulation of stomatal complex development	biological_process	0.04691119422994612	20.886047804335742	1	AT2G30370	0.20134450620817582
GO:0140618	ferric-chelate reductase (NADH) activity	molecular_function	0.04691119422994612	20.886047804335742	1	AT1G23020	0.20134450620817582
GO:0035825	homologous recombination	biological_process	0.04691119422994612	20.886047804335742	1	AT1G53490	0.20134450620817582
GO:0003988	acetyl-CoA C-acyltransferase activity	molecular_function	0.04691119422994612	20.886047804335742	1	AT5G48880	0.20134450620817582
GO:0010170	glucose-1-phosphate adenylyltransferase complex	cellular_component	0.04691119422994612	20.886047804335742	1	AT2G21590	0.20134450620817582
GO:0002240	response to molecule of oomycetes origin	biological_process	0.04691119422994612	20.886047804335742	1	AT4G20380	0.20134450620817582
GO:0006878	intracellular copper ion homeostasis	biological_process	0.04691119422994612	20.886047804335742	1	AT1G12520	0.20134450620817582
GO:1902074	response to salt	biological_process	0.047720824109252984	5.733424887464714	2	AT1G09530,AT4G35300	0.2030228043244535
GO:0010008	endosome membrane	cellular_component	0.05058942626140794	3.6248512718268646	3	AT1G50970,AT1G71696,AT4G33240	0.20635302453654453
GO:0051536	iron-sulfur cluster binding	molecular_function	0.05285611645707916	5.4149012826055625	2	AT2G27150,AT2G31955	0.20635302453654453
GO:0120518	protein N-terminal-methionine acetyltransferase activity	molecular_function	0.05343138011337849	18.275291828793776	1	AT2G06025	0.20635302453654453
GO:0010310	regulation of hydrogen peroxide metabolic process	biological_process	0.05343138011337849	18.275291828793776	1	AT4G20380	0.20635302453654453
GO:0018394	peptidyl-lysine acetylation	biological_process	0.05343138011337849	18.275291828793776	1	AT2G06025	0.20635302453654453
GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	molecular_function	0.05343138011337849	18.275291828793776	1	AT1G48360	0.20635302453654453
GO:0019216	regulation of lipid metabolic process	biological_process	0.05343138011337849	18.275291828793776	1	AT4G11830	0.20635302453654453
GO:0000210	NAD+ diphosphatase activity	molecular_function	0.05343138011337849	18.275291828793776	1	AT4G25434	0.20635302453654453
GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	molecular_function	0.05343138011337849	18.275291828793776	1	AT3G55850	0.20635302453654453
GO:0009902	chloroplast relocation	biological_process	0.05343138011337849	18.275291828793776	1	AT5G58140	0.20635302453654453
GO:0003677	DNA binding	molecular_function	0.05389471597015081	1.6180495532212669	14	AT1G09530,AT1G18750,AT1G27370,AT1G53160,AT2G03060,AT2G05210,AT2G20400,AT2G24650,AT2G46040,AT4G18020,AT4G21750,AT5G26680,AT5G46280,AT5G56620	0.20635302453654453
GO:0010321	regulation of vegetative phase change	biological_process	0.059907133063143235	16.244703847816687	1	AT1G53160	0.20635302453654453
GO:0016149	translation release factor activity, codon specific	molecular_function	0.059907133063143235	16.244703847816687	1	AT2G47020	0.20635302453654453
GO:1990189	protein N-terminal-serine acetyltransferase activity	molecular_function	0.059907133063143235	16.244703847816687	1	AT2G06025	0.20635302453654453
GO:0000741	karyogamy	biological_process	0.059907133063143235	16.244703847816687	1	AT2G20585	0.20635302453654453
GO:0009514	glyoxysome	cellular_component	0.059907133063143235	16.244703847816687	1	AT5G36880	0.20635302453654453
GO:0010358	leaf shaping	biological_process	0.059907133063143235	16.244703847816687	1	AT1G27370	0.20635302453654453
GO:0036464	cytoplasmic ribonucleoprotein granule	cellular_component	0.059907133063143235	16.244703847816687	1	AT3G49500	0.20635302453654453
GO:0006657	CDP-choline pathway	biological_process	0.059907133063143235	16.244703847816687	1	AT4G09760	0.20635302453654453
GO:0009531	secondary cell wall	cellular_component	0.059907133063143235	16.244703847816687	1	AT5G14550	0.20635302453654453
GO:0032787	monocarboxylic acid metabolic process	biological_process	0.059907133063143235	16.244703847816687	1	AT3G49160	0.20635302453654453
GO:0005247	voltage-gated chloride channel activity	molecular_function	0.059907133063143235	16.244703847816687	1	AT2G45870	0.20635302453654453
GO:0005978	glycogen biosynthetic process	biological_process	0.059907133063143235	16.244703847816687	1	AT2G21590	0.20635302453654453
GO:0003747	translation release factor activity	molecular_function	0.059907133063143235	16.244703847816687	1	AT2G47020	0.20635302453654453
GO:0004031	aldehyde oxidase activity	molecular_function	0.059907133063143235	16.244703847816687	1	AT2G27150	0.20635302453654453
GO:0006801	superoxide metabolic process	biological_process	0.059907133063143235	16.244703847816687	1	AT1G12520	0.20635302453654453
GO:0010017	red or far-red light signaling pathway	biological_process	0.05999129166938718	5.041459814839662	2	AT1G09530,AT4G31200	0.20635302453654453
GO:0003999	adenine phosphoribosyltransferase activity	molecular_function	0.0663387547003793	14.620233463035019	1	AT5G11160	0.2218916967564411
