GO_ID	term	ontology	p_value	fold_enrichment	gene_count	genes	FDR
GO:0000303	response to superoxide	biological_process	4.145157282376009e-06	487.974025974026	2	AT1G32230,AT4G20380	0.0009906925904878663
GO:0090627	plant epidermal cell differentiation	biological_process	0.0006208537282481409	54.21933621933622	2	AT1G01380,AT4G21750	0.056770218124685044
GO:0003676	nucleic acid binding	molecular_function	0.0007125968802261721	5.6196624872248675	6	AT1G67500,AT2G16940,AT4G02430,AT4G14520,AT5G04280,AT5G52040	0.056770218124685044
GO:0010455	positive regulation of cell fate commitment	biological_process	0.002049289402246234	487.974025974026	1	AT1G79580	0.06103849506468684
GO:0009885	transmembrane histidine kinase cytokinin receptor activity	molecular_function	0.002049289402246234	487.974025974026	1	AT2G01830	0.06103849506468684
GO:0140376	innate immune receptor activity	molecular_function	0.002049289402246234	487.974025974026	1	AT3G44480	0.06103849506468684
GO:0010542	nitrate efflux transmembrane transporter activity	molecular_function	0.002049289402246234	487.974025974026	1	AT3G45650	0.06103849506468684
GO:0003887	DNA-directed DNA polymerase activity	molecular_function	0.0022286374614791946	28.704354469060355	2	AT1G67500,AT2G02480	0.06103849506468684
GO:0016607	nuclear speck	cellular_component	0.002298520734653479	11.526945495449432	3	AT4G02430,AT4G31200,AT5G52040	0.06103849506468684
GO:0048026	positive regulation of mRNA splicing, via spliceosome	biological_process	0.0040944336472100926	243.987012987013	1	AT5G04280	0.07902324614452483
GO:0008716	D-alanine-D-alanine ligase activity	molecular_function	0.0040944336472100926	243.987012987013	1	AT3G08840	0.07902324614452483
GO:0008780	acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity	molecular_function	0.0040944336472100926	243.987012987013	1	AT4G29540	0.07902324614452483
GO:0019901	protein kinase binding	molecular_function	0.004579930552231498	19.917307182613307	2	AT2G01830,AT2G30740	0.07902324614452483
GO:0010086	embryonic root morphogenesis	biological_process	0.006135441009319238	162.65800865800867	1	AT2G01830	0.07902324614452483
GO:0010618	aerenchyma formation	biological_process	0.006135441009319238	162.65800865800867	1	AT4G20380	0.07902324614452483
GO:0016035	zeta DNA polymerase complex	cellular_component	0.006135441009319238	162.65800865800867	1	AT1G67500	0.07902324614452483
GO:0009884	cytokinin receptor activity	molecular_function	0.006135441009319238	162.65800865800867	1	AT2G01830	0.07902324614452483
GO:0010029	regulation of seed germination	biological_process	0.007466573786657366	15.49123891981035	2	AT2G01830,AT4G21750	0.07902324614452483
GO:0003002	regionalization	biological_process	0.008172319746703986	121.9935064935065	1	AT1G79580	0.07902324614452483
GO:1902448	positive regulation of shade avoidance	biological_process	0.008172319746703986	121.9935064935065	1	AT1G18400	0.07902324614452483
GO:0019985	translesion synthesis	biological_process	0.008172319746703986	121.9935064935065	1	AT1G67500	0.07902324614452483
GO:0071494	cellular response to UV-C	biological_process	0.008172319746703986	121.9935064935065	1	AT1G67500	0.07902324614452483
GO:0001530	lipopolysaccharide binding	molecular_function	0.008172319746703986	121.9935064935065	1	AT3G20270	0.07902324614452483
GO:0052717	tRNA-specific adenosine-34 deaminase activity	molecular_function	0.008172319746703986	121.9935064935065	1	AT5G24670	0.07902324614452483
GO:0005634	nucleus	cellular_component	0.00990186676573769	1.4400950507192682	33	AT1G01380,AT1G01560,AT1G10240,AT1G18400,AT1G29630,AT1G32230,AT1G58025,AT1G67500,AT1G79580,AT2G01830,AT2G02480,AT2G16940,AT2G20815,AT2G30740,AT2G38920,AT3G09370,AT3G16030,AT3G20270,AT3G45650,AT3G53680,AT4G02430,AT4G14520,AT4G20380,AT4G21750,AT4G27860,AT4G31200,AT5G04280,AT5G06510,AT5G20680,AT5G24670,AT5G52040,AT5G54920,AT5G64760	0.07902324614452483
GO:0006974	DNA damage response	biological_process	0.010177577847967401	13.18848718848719	2	AT1G67500,AT3G09370	0.07902324614452483
GO:0000965	mitochondrial RNA 3'-end processing	biological_process	0.010205078101228976	97.5948051948052	1	AT4G19440	0.07902324614452483
GO:0009360	DNA polymerase III complex	cellular_component	0.010205078101228976	97.5948051948052	1	AT2G02480	0.07902324614452483
GO:1900033	negative regulation of trichome patterning	biological_process	0.010205078101228976	97.5948051948052	1	AT1G01380	0.07902324614452483
GO:0005515	protein binding	molecular_function	0.012212302081434256	1.8233499335787986	16	AT1G01560,AT1G10240,AT1G18400,AT1G32230,AT1G79580,AT2G01830,AT2G16940,AT2G30740,AT3G08710,AT3G09370,AT4G20380,AT4G21750,AT4G27860,AT4G31200,AT5G24670,AT5G52040	0.07902324614452483
GO:0008251	tRNA-specific adenosine deaminase activity	molecular_function	0.012233724298524764	81.32900432900433	1	AT5G24670	0.07902324614452483
GO:0010445	nuclear dicing body	cellular_component	0.012233724298524764	81.32900432900433	1	AT5G52040	0.07902324614452483
GO:0035312	5'-3' DNA exonuclease activity	molecular_function	0.012233724298524764	81.32900432900433	1	AT1G29630	0.07902324614452483
GO:0097367	carbohydrate derivative binding	molecular_function	0.012233724298524764	81.32900432900433	1	AT3G20270	0.07902324614452483
GO:0033500	carbohydrate homeostasis	biological_process	0.012233724298524764	81.32900432900433	1	AT2G01830	0.07902324614452483
GO:0007154	cell communication	biological_process	0.012233724298524764	81.32900432900433	1	AT3G08710	0.07902324614452483
GO:0140096	catalytic activity, acting on a protein	molecular_function	0.012233724298524764	81.32900432900433	1	AT2G38920	0.07902324614452483
GO:0010447	response to acidic pH	biological_process	0.014258266548019372	69.71057513914657	1	AT3G45650	0.08737758217888794
GO:0002240	response to molecule of oomycetes origin	biological_process	0.014258266548019372	69.71057513914657	1	AT4G20380	0.08737758217888794
GO:0003677	DNA binding	molecular_function	0.015026159216130505	2.7002515271289975	7	AT1G18400,AT1G29630,AT1G67500,AT1G79580,AT2G02480,AT4G21750,AT5G06510	0.08923514690934528
GO:0010310	regulation of hydrogen peroxide metabolic process	biological_process	0.016278713042969795	60.99675324675325	1	AT4G20380	0.08923514690934528
GO:0016363	nuclear matrix	cellular_component	0.016278713042969795	60.99675324675325	1	AT1G32230	0.08923514690934528
GO:0071329	cellular response to sucrose stimulus	biological_process	0.016278713042969795	60.99675324675325	1	AT2G01830	0.08923514690934528
GO:0048509	regulation of meristem development	biological_process	0.018295071960493386	54.21933621933622	1	AT2G01830	0.08923514690934528
GO:0006809	nitric oxide biosynthetic process	biological_process	0.018295071960493386	54.21933621933622	1	AT1G32230	0.08923514690934528
GO:0007231	osmosensory signaling pathway	biological_process	0.018295071960493386	54.21933621933622	1	AT2G01830	0.08923514690934528
GO:0004014	adenosylmethionine decarboxylase activity	molecular_function	0.018295071960493386	54.21933621933622	1	AT3G25570	0.08923514690934528
GO:0006597	spermine biosynthetic process	biological_process	0.018295071960493386	54.21933621933622	1	AT3G25570	0.08923514690934528
GO:0080116	glucuronoxylan glucuronosyltransferase activity	molecular_function	0.018295071960493386	54.21933621933622	1	AT4G33330	0.08923514690934528
GO:0009834	plant-type secondary cell wall biogenesis	biological_process	0.01870788312593465	9.568118156353451	2	AT1G79580,AT4G33330	0.08942368134196763
GO:0004673	protein histidine kinase activity	molecular_function	0.020307351461599267	48.7974025974026	1	AT2G01830	0.09516582351612206
GO:0008289	lipid binding	molecular_function	0.020820630438207713	9.036556036556037	2	AT3G20270,AT4G21750	0.09523962082502634
GO:0016740	transferase activity	molecular_function	0.021546032588777405	8.872255017709564	2	AT2G38920,AT5G20680	0.09523962082502634
GO:0019899	enzyme binding	molecular_function	0.02231555969121956	44.36127508854782	1	AT2G01830	0.09523962082502634
GO:0046470	phosphatidylcholine metabolic process	biological_process	0.02231555969121956	44.36127508854782	1	AT4G11840	0.09523962082502634
GO:0032183	SUMO binding	molecular_function	0.02231555969121956	44.36127508854782	1	AT1G29630	0.09523962082502634
GO:0010104	regulation of ethylene-activated signaling pathway	biological_process	0.024319704778240723	40.66450216450217	1	AT4G20380	0.09891254987763781
GO:0031053	primary miRNA processing	biological_process	0.024319704778240723	40.66450216450217	1	AT5G52040	0.09891254987763781
GO:0046872	metal ion binding	molecular_function	0.025563127295332267	4.752993759487265	3	AT1G29630,AT3G08840,AT3G57470	0.09891254987763781
GO:0009723	response to ethylene	biological_process	0.02571940435983151	8.065686379735967	2	AT1G32230,AT3G09370	0.09891254987763781
GO:0034052	positive regulation of plant-type hypersensitive response	biological_process	0.026319794835534684	37.536463536463536	1	AT3G44480	0.09891254987763781
GO:2001289	lipid X metabolic process	biological_process	0.026319794835534684	37.536463536463536	1	AT4G29540	0.09891254987763781
GO:0003950	NAD+ poly-ADP-ribosyltransferase activity	molecular_function	0.026319794835534684	37.536463536463536	1	AT1G32230	0.09891254987763781
