go_id	go_name	namespace	n_genes_test	n_genes_background	expected	fold_enrichment	pvalue	genes	fdr_bh
GO:0042754	negative regulation of circadian rhythm	biological_process	2	6	0.01416741821759449	141.1689814814815	8.253778243514384e-05	AT1G01060;AT2G46830	0.03235481071457639
GO:0048574	long-day photoperiodism, flowering	biological_process	2	36	0.08500450930556694	23.528163580246915	0.0033092504479230863	AT1G01060;AT2G46830	0.6486130877929249
GO:0009641	shade avoidance	biological_process	2	43	0.10153316389276051	19.697997416020673	0.004692302569318955	AT1G80360;AT2G32950	0.6131275357243434
GO:0032212	positive regulation of telomere maintenance via telomerase	biological_process	1	2	0.004722472739198164	211.7534722222222	0.004716935929529189	AT2G05210	0.20544876493060468
GO:0032206	positive regulation of telomere maintenance	biological_process	1	2	0.004722472739198164	211.7534722222222	0.004716935929529189	AT2G05210	0.20544876493060468
GO:0015607	ABC-type fatty-acyl-CoA transporter activity	molecular_function	1	2	0.004722472739198164	211.7534722222222	0.004716935929529189	AT4G39850	0.20544876493060468
GO:0035024	negative regulation of Rho protein signal transduction	biological_process	1	2	0.004722472739198164	211.7534722222222	0.004716935929529189	AT4G24580	0.20544876493060468
GO:1901799	negative regulation of proteasomal protein catabolic process	biological_process	1	2	0.004722472739198164	211.7534722222222	0.004716935929529189	AT3G53970	0.20544876493060468
GO:0015916	fatty-acyl-CoA transport	biological_process	1	2	0.004722472739198164	211.7534722222222	0.004716935929529189	AT4G39850	0.20544876493060468
GO:0010293	abscisic aldehyde oxidase activity	molecular_function	1	2	0.004722472739198164	211.7534722222222	0.004716935929529189	AT2G27150	0.20544876493060468
GO:0000292	RNA fragment catabolic process	biological_process	1	2	0.004722472739198164	211.7534722222222	0.004716935929529189	AT3G46960	0.20544876493060468
GO:1901997	negative regulation of auxin biosynthetic process	biological_process	1	2	0.004722472739198164	211.7534722222222	0.004716935929529189	AT1G80360	0.20544876493060468
GO:0042966	biotin carboxyl carrier protein biosynthetic process	biological_process	1	2	0.004722472739198164	211.7534722222222	0.004716935929529189	AT2G25710	0.20544876493060468
GO:0061760	antifungal innate immune response	biological_process	1	2	0.004722472739198164	211.7534722222222	0.004716935929529189	AT3G03970	0.20544876493060468
GO:0009553	embryo sac development	biological_process	3	158	0.3730753463966549	8.041271097046414	0.006367709645186741	AT1G31070;AT5G05920;AT5G63160	0.16640947872754683
GO:0051707	response to other organism	biological_process	3	162	0.38252029187505127	7.842721193415637	0.006820215831720605	AT1G27180;AT4G26070;AT5G44870	0.16709528787715483
GO:0008887	glycerate kinase activity	molecular_function	1	3	0.007083709108797245	141.1689814814815	0.007067111572350102	AT1G80380	0.15390598535340225
GO:0034038	deoxyhypusine synthase activity	molecular_function	1	3	0.007083709108797245	141.1689814814815	0.007067111572350102	AT5G05920	0.15390598535340225
GO:0008478	pyridoxal kinase activity	molecular_function	1	3	0.007083709108797245	141.1689814814815	0.007067111572350102	AT5G37850	0.15390598535340225
GO:0008612	peptidyl-hypusine biosynthetic process	biological_process	1	4	0.009444945478396327	105.8767361111111	0.009411776160811968	AT5G05920	0.12945320193116813
GO:0035061	interchromatin granule	cellular_component	1	4	0.009444945478396327	105.8767361111111	0.009411776160811968	AT1G55310	0.12945320193116813
GO:0009865	pollen tube adhesion	biological_process	1	4	0.009444945478396327	105.8767361111111	0.009411776160811968	AT4G24580	0.12945320193116813
GO:0070382	exocytic vesicle	cellular_component	1	4	0.009444945478396327	105.8767361111111	0.009411776160811968	AT4G24580	0.12945320193116813
GO:0102732	inositol-1,2,3,4,6-pentakisphosphate 5-kinase activity	molecular_function	1	4	0.009444945478396327	105.8767361111111	0.009411776160811968	AT5G07370	0.12945320193116813
GO:0052630	UDP-N-acetylgalactosamine diphosphorylase activity	molecular_function	1	4	0.009444945478396327	105.8767361111111	0.009411776160811968	AT1G31070	0.12945320193116813
GO:0070988	demethylation	biological_process	1	4	0.009444945478396327	105.8767361111111	0.009411776160811968	AT1G31600	0.12945320193116813
GO:0046409	p-coumarate 3-hydroxylase activity	molecular_function	1	4	0.009444945478396327	105.8767361111111	0.009411776160811968	AT1G07890	0.12945320193116813
GO:0010201	response to continuous far red light stimulus by the high-irradiance response system	biological_process	1	4	0.009444945478396327	105.8767361111111	0.009411776160811968	AT2G35940	0.12945320193116813
GO:0000824	inositol-1,4,5,6-tetrakisphosphate 3-kinase activity	molecular_function	1	4	0.009444945478396327	105.8767361111111	0.009411776160811968	AT5G07370	0.12945320193116813
GO:0000823	inositol-1,4,5-trisphosphate 6-kinase activity	molecular_function	1	4	0.009444945478396327	105.8767361111111	0.009411776160811968	AT5G07370	0.12945320193116813
GO:0042816	vitamin B6 metabolic process	biological_process	1	4	0.009444945478396327	105.8767361111111	0.009411776160811968	AT5G37850	0.12945320193116813
GO:0140852	histone ubiquitin ligase activity	molecular_function	1	4	0.009444945478396327	105.8767361111111	0.009411776160811968	AT1G55250	0.12945320193116813
GO:0018488	aryl-aldehyde oxidase activity	molecular_function	1	4	0.009444945478396327	105.8767361111111	0.009411776160811968	AT2G27150	0.12945320193116813
GO:0000152	nuclear ubiquitin ligase complex	cellular_component	1	4	0.009444945478396327	105.8767361111111	0.009411776160811968	AT2G32950	0.12945320193116813
GO:0019276	UDP-N-acetylgalactosamine metabolic process	biological_process	1	4	0.009444945478396327	105.8767361111111	0.009411776160811968	AT1G31070	0.12945320193116813
GO:0044528	regulation of mitochondrial mRNA stability	biological_process	1	4	0.009444945478396327	105.8767361111111	0.009411776160811968	AT1G06710	0.12945320193116813
