sample_name	condition	cluster	UMAP1	UMAP2
alt_rep1	microgravity	0	5.3221045	9.893246
alt_rep2	microgravity	0	6.039241	9.282184
alt_rep4	microgravity	0	4.6379204	8.790369
alt_rep5	microgravity	0	4.57608	9.602118
alt_rep6	microgravity	0	4.917397	9.129334
alt_rep7	microgravity	0	5.1224575	7.6752133
alt_rep8	microgravity	0	4.80682	8.084553
alt_rep9	microgravity	1	6.82521	10.651155
alt_rep10	microgravity	1	6.881495	10.146604
alt_rep11	microgravity	1	6.2406836	10.631481
ctrl_rep1	ground_control	0	6.7546134	8.315377
ctrl_rep2	ground_control	0	6.853359	9.183878
ctrl_rep3	ground_control	0	6.0961366	8.655394
ctrl_rep4	ground_control	0	6.361402	7.8292065
ctrl_rep5	ground_control	0	5.8021193	7.7165112
ctrl_rep6	ground_control	0	5.26174	8.399108
alt_rep3	microgravity	1	6.2381887	9.90551
