bin_code	bin_name	n_genes_test	n_genes_background	expected	fold_enrichment	pvalue	genes	fdr_bh
15	metal handling	1	82	1.0012719409819384	0.998729674796748	0.6361205269460997	AT3G08040	1.0
13	amino acid metabolism	1	124	1.5141185448995167	0.6604502688172043	0.7837865011124039	AT1G80360	1.0
27	RNA	3	520	6.349529381836683	0.47247596153846155	0.9561935465703644	AT1G28090;AT1G55310;AT4G26600	1.0
34	transport	1	276	3.3701348257440853	0.29672403381642515	0.9676549363377273	AT4G30560	1.0
21	redox	3	589	7.192063088272704	0.41712648556876064	0.9774397171016316	AT1G07890;AT4G11830;AT5G16980	1.0
28	DNA	2	498	6.080895446451285	0.32889892904953144	0.9856822558694341	AT2G18760;AT2G32950	1.0
2	major CHO metabolism	2	730	8.913762401424574	0.22437214611872147	0.9989885269206287	AT1G02850;AT5G24318	1.0
33	development	4	1373	16.765199694734164	0.23858946346200535	0.9999779615545213	AT1G07890;AT1G31070;AT4G21310;AT5G07370	1.0
29	protein	6	1981	24.189264818112438	0.24804391721352853	0.9999994520380688	AT1G07940;AT1G28210;AT1G49630;AT2G47020;AT3G27110;AT4G16660	1.0
30	signalling	3	1800	21.979140167896208	0.13649305555555558	0.9999999861107882	AT1G27180;AT4G24580;AT5G44870	1.0
20	stress	12	3342	40.807936911727296	0.2940604428485937	0.9999999994791091	AT1G01060;AT1G07890;AT1G28210;AT1G60200;AT2G01930;AT2G26070;AT2G35940;AT2G37760;AT2G46830;AT3G08040;AT4G26070;AT5G18065	0.9999999994791092
