test_study	n_train	n_test	auc	accuracy	f1	model
OSD-120	73	36	0.49382716049382724	0.5	0.6666666666666666	RF
OSD-314	92	17	0.4318181818181818	0.7058823529411765	0.8	RF
OSD-37	53	56	0.5102040816326531	0.48214285714285715	0.6329113924050633	RF
OSD-120	73	36	0.5	0.5277777777777778	0.6382978723404256	GBM
OSD-314	92	17	0.9393939393939394	0.8235294117647058	0.8695652173913043	GBM
OSD-37	53	56	0.5829081632653061	0.5	0.631578947368421	GBM
OSD-120	73	36	0.47530864197530864	0.5277777777777778	0.6382978723404256	XGBoost
OSD-314	92	17	0.6515151515151515	0.6470588235294118	0.7272727272727273	XGBoost
OSD-37	53	56	0.7257653061224489	0.6607142857142857	0.6122448979591837	XGBoost
