sample_name	study_id	condition	is_flight	UMAP1	UMAP2	cluster
GLDS-120_rna_seq_Atha_Ws_root_FLT_Alight_Rep1_GSM2493780_Day13_GLbulkRNAseq	OSD-120	flight	1	10.437864	23.39866	0
GLDS-120_rna_seq_Atha_Ws_root_FLT_Alight_Rep2_GSM2493781_Day13_GLbulkRNAseq	OSD-120	flight	1	10.163733	23.634579	0
GLDS-120_rna_seq_Atha_Ws_root_FLT_Alight_Rep3_GSM2493782_Day13_GLbulkRNAseq	OSD-120	flight	1	10.265155	23.674173	0
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_FLT_Alight_Rep1_GSM2493783_Day13_GLbulkRNAseq	OSD-120	flight	1	12.165043	24.07887	0
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_FLT_Alight_Rep2_GSM2493784_Day13_GLbulkRNAseq	OSD-120	flight	1	12.258987	23.656816	0
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_FLT_Alight_Rep3_GSM2493785_Day13_GLbulkRNAseq	OSD-120	flight	1	11.647139	23.925713	0
GLDS-120_rna_seq_Atha_Col-0_root_FLT_dark_Rep1_GSM2493786_Day13_GLbulkRNAseq	OSD-120	flight	1	11.9123745	23.661293	0
GLDS-120_rna_seq_Atha_Col-0_root_FLT_dark_Rep2_GSM2493787_Day13_GLbulkRNAseq	OSD-120	flight	1	11.261145	23.83299	0
GLDS-120_rna_seq_Atha_Col-0_root_FLT_dark_Rep3_GSM2493788_Day13_GLbulkRNAseq	OSD-120	flight	1	11.970088	24.110617	0
GLDS-120_rna_seq_Atha_Ws_root_FLT_dark_Rep1_GSM2493789_Day13_GLbulkRNAseq	OSD-120	flight	1	10.37248	23.455175	0
GLDS-120_rna_seq_Atha_Ws_root_FLT_dark_Rep2_GSM2493790_Day13_GLbulkRNAseq	OSD-120	flight	1	10.009687	23.44528	0
GLDS-120_rna_seq_Atha_Ws_root_FLT_dark_Rep3_GSM2493791_Day13_GLbulkRNAseq	OSD-120	flight	1	10.617732	23.341312	0
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_FLT_dark_Rep1_GSM2493792_Day13_GLbulkRNAseq	OSD-120	flight	1	11.348943	24.451077	0
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_FLT_dark_Rep2_GSM2493793_Day13_GLbulkRNAseq	OSD-120	flight	1	11.793357	23.752752	0
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_FLT_dark_Rep3_GSM2493794_Day13_GLbulkRNAseq	OSD-120	flight	1	12.279506	23.816914	0
GLDS-120_rna_seq_Atha_Col-0_root_GC_Alight_Rep3_GSM2493761_Day13_GLbulkRNAseq	OSD-120	ground_control	0	11.811647	24.624256	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep1_R1-FL-C1_GLbulkRNAseq	OSD-37	flight	1	-2.8667085	-1.6178632	1
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_FLT_Rep1_R1-FL-C2_GLbulkRNAseq	OSD-37	flight	1	-2.8307848	-2.7949257	1
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_FLT_Rep1_R1-FL-C3_GLbulkRNAseq	OSD-37	flight	1	-2.379521	-2.2816904	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep2_R1-FL-C4_GLbulkRNAseq	OSD-37	flight	1	-3.0033965	-1.3677928	1
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_FLT_Rep2_R1-FL-C5_GLbulkRNAseq	OSD-37	flight	1	-2.6691346	-2.0371876	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep3_R1-FL-D1_GLbulkRNAseq	OSD-37	flight	1	-3.4898388	-1.5419847	1
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_FLT_Rep2_R1-FL-D2_GLbulkRNAseq	OSD-37	flight	1	-2.8762648	-2.0642748	1
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_FLT_Rep3_R1-FL-D3_GLbulkRNAseq	OSD-37	flight	1	-2.5100522	-2.4627044	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep4_R1-FL-D4_GLbulkRNAseq	OSD-37	flight	1	-3.3760507	-1.3624415	1
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_FLT_Rep3_R1-FL-D5_GLbulkRNAseq	OSD-37	flight	1	-2.947988	-2.7235825	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep1_R1-GC-C1_GLbulkRNAseq	OSD-37	ground_control	0	-3.1259851	-1.0675391	1
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_GC_Rep1_R1-GC-C2_GLbulkRNAseq	OSD-37	ground_control	0	-2.4241438	-2.88189	1
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_GC_Rep1_R1-GC-C3_GLbulkRNAseq	OSD-37	ground_control	0	-3.1129174	-2.2426493	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep2_R1-GC-C4_GLbulkRNAseq	OSD-37	ground_control	0	-3.247399	-1.2606598	1
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_GC_Rep2_R1-GC-C5_GLbulkRNAseq	OSD-37	ground_control	0	-3.234776	-2.3536787	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep3_R1-GC-D1_GLbulkRNAseq	OSD-37	ground_control	0	-3.6549096	-1.5940975	1
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_GC_Rep2_R1-GC-D2_GLbulkRNAseq	OSD-37	ground_control	0	-2.3329592	-1.6948429	1
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_GC_Rep3_R1-GC-D3_GLbulkRNAseq	OSD-37	ground_control	0	-3.0628004	-2.4920444	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep4_R1-GC-D4_GLbulkRNAseq	OSD-37	ground_control	0	-3.2562258	-1.3201686	1
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_GC_Rep3_R1-GC-D5_GLbulkRNAseq	OSD-37	ground_control	0	-2.6070416	-1.7656174	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep5_R2-FL-C1_GLbulkRNAseq	OSD-37	flight	1	-2.6855445	-1.2197337	1
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_FLT_Rep4_R2-FL-C2_GLbulkRNAseq	OSD-37	flight	1	-2.0171814	-2.166946	1
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_FLT_Rep4_R2-FL-C3_GLbulkRNAseq	OSD-37	flight	1	-2.2197714	-2.2955384	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep6_R2-FL-C4_GLbulkRNAseq	OSD-37	flight	1	-3.4967506	-1.9067224	1
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_FLT_Rep5_R2-FL-C5_GLbulkRNAseq	OSD-37	flight	1	-2.9147441	-2.4124985	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep7_R2-FL-D1_GLbulkRNAseq	OSD-37	flight	1	-3.2761545	-1.8696083	1
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_FLT_Rep5_R2-FL-D2_GLbulkRNAseq	OSD-37	flight	1	-2.7742186	-2.3598084	1
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_FLT_Rep6_R2-FL-D3_GLbulkRNAseq	OSD-37	flight	1	-2.403946	-2.450896	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep8_R2-FL-D4_GLbulkRNAseq	OSD-37	flight	1	-3.6826274	-1.3026994	1
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_FLT_Rep6_R2-FL-D5_GLbulkRNAseq	OSD-37	flight	1	-2.675068	-2.5759904	1
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep5_R2-GC-C1_GLbulkRNAseq	OSD-37	ground_control	0	-3.435926	-1.0205446	1
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_GC_Rep4_R2-GC-C2_GLbulkRNAseq	OSD-37	ground_control	0	-2.1490629	-2.2330577	1
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_GC_Rep4_R2-GC-C3_GLbulkRNAseq	OSD-37	ground_control	0	-2.688442	-2.9666722	1
