test_study	n_train	n_test	auc	accuracy	f1	model
OSD-120	17	36	0.5756172839506173	0.5	0.6666666666666666	RF
OSD-314	36	17	0.43939393939393945	0.35294117647058826	0.0	RF
OSD-120	17	36	0.5462962962962963	0.5	0.64	GBM
OSD-314	36	17	0.5757575757575757	0.35294117647058826	0.0	GBM
OSD-120	17	36	0.6033950617283951	0.5	0.6666666666666666	XGBoost
OSD-314	36	17	0.15151515151515152	0.35294117647058826	0.15384615384615385	XGBoost
