go_id	go_name	namespace	n_genes_test	n_genes_background	expected	fold_enrichment	pvalue	genes	fdr_bh
GO:0042752	regulation of circadian rhythm	biological_process	2	84	0.04269902435025006	46.8394777265745	0.000849360602087112	AT3G20810;AT5G42900	0.09682710863793077
GO:0140680	histone H3K36me/H3K36me2 demethylase activity	molecular_function	1	2	0.0010166434369107157	983.6290322580645	0.0010163933770334747	AT3G20810	0.03862294832727204
GO:0140684	histone H3K9me2/H3K9me3 demethylase activity	molecular_function	1	2	0.0010166434369107157	983.6290322580645	0.0010163933770334747	AT3G20810	0.03862294832727204
GO:0140681	histone H3K36me2/H3K36me3 demethylase activity	molecular_function	1	2	0.0010166434369107157	983.6290322580645	0.0010163933770334747	AT3G20810	0.03862294832727204
GO:0006825	copper ion transport	biological_process	1	4	0.0020332868738214315	491.81451612903226	0.0020317869901596473	AT5G21930	0.03088316225042664
GO:0031334	positive regulation of protein-containing complex assembly	biological_process	1	4	0.0020332868738214315	491.81451612903226	0.0020317869901596473	AT3G29185	0.03088316225042664
GO:0018315	molybdenum incorporation into molybdenum-molybdopterin complex	biological_process	1	4	0.0020332868738214315	491.81451612903226	0.0020317869901596473	AT1G16540	0.03088316225042664
GO:0090173	regulation of synaptonemal complex assembly	biological_process	1	4	0.0020332868738214315	491.81451612903226	0.0020317869901596473	AT2G46980	0.03088316225042664
GO:0008265	molybdenum cofactor sulfurtransferase activity	molecular_function	1	4	0.0020332868738214315	491.81451612903226	0.0020317869901596473	AT1G16540	0.03088316225042664
GO:0009000	selenocysteine lyase activity	molecular_function	1	4	0.0020332868738214315	491.81451612903226	0.0020317869901596473	AT1G16540	0.03088316225042664
GO:2000028	regulation of photoperiodism, flowering	biological_process	2	159	0.0808231532344019	24.74538445932238	0.00298878715667523	AT3G20810;AT5G42900	0.030974703260088752
GO:0090571	RNA polymerase II transcription repressor complex	cellular_component	1	7	0.0035582520291875053	281.036866359447	0.00355300493184725	AT5G06950	0.03375354685254888
GO:0033614	chloroplast proton-transporting ATP synthase complex assembly	biological_process	1	8	0.004066573747642863	245.90725806451613	0.004059578726447149	AT3G29185	0.034280887023331486
GO:0010378	temperature compensation of the circadian clock	biological_process	1	8	0.004066573747642863	245.90725806451613	0.004059578726447149	AT3G20810	0.034280887023331486
GO:0071558	histone H3K27me2/H3K27me3 demethylase activity	molecular_function	1	10	0.005083217184553579	196.7258064516129	0.005071978748305734	AT3G20810	0.03613784858167835
GO:0060149	negative regulation of post-transcriptional gene silencing	biological_process	1	10	0.005083217184553579	196.7258064516129	0.005071978748305734	AT1G21580	0.03613784858167835
GO:0030151	molybdenum ion binding	molecular_function	1	10	0.005083217184553579	196.7258064516129	0.005071978748305734	AT1G16540	0.03613784858167835
GO:0009410	response to xenobiotic stimulus	biological_process	1	11	0.005591538903008937	178.841642228739	0.005577805212574741	AT5G06950	0.035326099679640025
GO:0010255	glucose mediated signaling pathway	biological_process	1	12	0.0060998606214642944	163.93817204301075	0.00608338280365307	AT5G25560	0.036500296821918424
GO:1900457	regulation of brassinosteroid mediated signaling pathway	biological_process	1	15	0.007624825776830368	131.1505376344086	0.00759862352116382	AT3G20810	0.043312154070633775
GO:0046975	histone H3K36 methyltransferase activity	molecular_function	1	17	0.008641469213741084	115.72106261859582	0.008607541802203054	AT3G20810	0.04672665549767372
GO:0032787	monocarboxylic acid metabolic process	biological_process	1	18	0.009149790932196441	109.2921146953405	0.009111628637987916	AT1G16540	0.046165585099138776
GO:0009697	salicylic acid biosynthetic process	biological_process	1	18	0.009149790932196441	109.2921146953405	0.009111628637987916	AT5G06950	0.046165585099138776
GO:0006777	Mo-molybdopterin cofactor biosynthetic process	biological_process	1	19	0.0096581126506518	103.53989813242784	0.009615467428025522	AT1G16540	0.045673470283121236
GO:0061628	histone H3K27me3 reader activity	molecular_function	1	22	0.011183077806017874	89.4208211143695	0.011125496703275315	AT3G20810	0.05073226496693544
GO:0001222	transcription corepressor binding	molecular_function	1	24	0.012199721242928589	81.96908602150538	0.01213094481972873	AT5G60120	0.0531895272865029
GO:0009688	abscisic acid biosynthetic process	biological_process	1	25	0.012708042961383947	78.69032258064516	0.012633297811159117	AT1G16540	0.053340590758227384
GO:0019829	ATPase-coupled monoatomic cation transmembrane transporter activity	molecular_function	1	26	0.013216364679839304	75.6637717121588	0.013135403581629165	AT5G21930	0.05254161432651666
GO:1900140	regulation of seedling development	biological_process	1	26	0.013216364679839304	75.6637717121588	0.013135403581629165	AT3G20810	0.05254161432651666
GO:0005375	copper ion transmembrane transporter activity	molecular_function	1	27	0.013724686398294663	72.86140979689367	0.013637262248749185	AT5G21930	0.05097206217565269
GO:0008173	RNA methyltransferase activity	molecular_function	1	27	0.013724686398294663	72.86140979689367	0.013637262248749185	AT4G26600	0.05097206217565269
GO:0045824	negative regulation of innate immune response	biological_process	1	29	0.014741329835205378	67.83648498331479	0.014640238743110377	AT5G60120	0.05215585052233072
GO:0035434	copper ion transmembrane transport	biological_process	1	30	0.015249651553660737	65.5752688172043	0.015141356805302179	AT5G21930	0.05230650532740753
GO:0043484	regulation of RNA splicing	biological_process	1	33	0.01677461670902681	59.613880742913004	0.016643231660493276	AT1G21580	0.05580377674400687
GO:0009850	auxin metabolic process	biological_process	1	38	0.0193162253013036	51.76994906621392	0.019141432348492648	AT5G56650	0.06234637964937606
GO:0090575	RNA polymerase II transcription regulator complex	cellular_component	1	46	0.02338279904894646	42.766479663394115	0.023125783314714928	AT5G06950	0.07323164716326394
GO:0045892	negative regulation of DNA-templated transcription	biological_process	2	464	0.23586127736328605	8.479560622914349	0.023222251054023778	AT5G06950;AT5G42900	0.07154963838266785
GO:0000791	euchromatin	cellular_component	1	47	0.02389112076740182	41.85655456417296	0.023622724529983364	AT3G20810	0.07086817358995008
GO:0009767	photosynthetic electron transport chain	biological_process	1	49	0.024907764204312535	40.14812376563529	0.024615873139020972	AT5G21930	0.0719540907140613
GO:0010197	polar nucleus fusion	biological_process	1	53	0.02694105107813397	37.118076688983564	0.026599238329192726	AT3G03810	0.07580782923819926
GO:0009787	regulation of abscisic acid-activated signaling pathway	biological_process	1	56	0.028466016233500042	35.129608294930875	0.028084200358552736	AT3G20810	0.07808777660670761
GO:0010629	negative regulation of gene expression	biological_process	1	59	0.029990981388866116	33.3433570256971	0.029566969987112557	AT5G60120	0.08025320425073408
GO:1990110	callus formation	biological_process	1	61	0.03100762482577683	32.250132205182446	0.03055426661779823	AT3G20810	0.08100433475416274
GO:0010182	sugar mediated signaling pathway	biological_process	1	65	0.03304091169959826	30.265508684863526	0.032525944554012746	AT1G16540	0.08427176543539666
GO:0010118	stomatal movement	biological_process	1	66	0.03354923341805362	29.806940371456502	0.03301825735307421	AT1G16540	0.082727062379131
GO:0048868	pollen tube development	biological_process	1	66	0.03354923341805362	29.806940371456502	0.03301825735307421	AT3G03810	0.082727062379131
GO:0009862	systemic acquired resistance, salicylic acid mediated signaling pathway	biological_process	1	72	0.036599163728785765	27.323028673835125	0.03596704688250405	AT5G06950	0.08723922009798855
GO:0051321	meiotic cell cycle	biological_process	1	74	0.037615807165696485	26.584568439407146	0.036948041486415284	AT2G46980	0.0877515985302363
GO:0016829	lyase activity	molecular_function	1	88	0.044732311224071494	22.355205278592376	0.04378800478905313	AT1G16540	0.10084510193842539
GO:0098655	monoatomic cation transmembrane transport	biological_process	1	88	0.044732311224071494	22.355205278592376	0.04378800478905313	AT5G21930	0.10084510193842539
GO:0009266	response to temperature stimulus	biological_process	1	92	0.04676559809789292	21.383239831697058	0.04573362930180519	AT3G20810	0.10222811255697631
GO:0045814	negative regulation of gene expression, epigenetic	biological_process	1	93	0.047273919816348285	21.153312521678806	0.04621943649625522	AT3G20810	0.10132722616486721
GO:0009615	response to virus	biological_process	1	96	0.048798884971714356	20.492271505376344	0.04767542246353615	AT5G42900	0.10158875066996488
GO:0005788	endoplasmic reticulum lumen	cellular_component	1	96	0.048798884971714356	20.492271505376344	0.04767542246353615	AT5G56650	0.10158875066996488
GO:0045037	protein import into chloroplast stroma	biological_process	1	98	0.04981552840862507	20.074061882817645	0.048644884567585575	AT1G16540	0.10082757892190465
GO:0080022	primary root development	biological_process	1	101	0.051340493563991146	19.477802618971573	0.05009728718860227	AT3G20810	0.10108125202656033
GO:0009749	response to glucose	biological_process	1	101	0.051340493563991146	19.477802618971573	0.05009728718860227	AT1G16540	0.10108125202656033
GO:0009646	response to absence of light	biological_process	1	104	0.05286545871935722	18.9159429280397	0.05154754389547637	AT5G42900	0.10131758627731562
GO:0009409	response to cold	biological_process	2	727	0.3695498893170452	5.411989173359364	0.052562554568949475	AT1G16540;AT5G42900	0.10156154611627526
GO:0009741	response to brassinosteroid	biological_process	1	109	0.05540706731163401	18.048239124001185	0.0539598780317182	AT3G20810	0.10252376826026459
GO:0009637	response to blue light	biological_process	1	134	0.06811511027301796	14.681030332209916	0.06593275790667039	AT5G42900	0.1232185967436135
GO:0010114	response to red light	biological_process	1	154	0.07828154464212511	12.7744030163385	0.07540535537981925	AT5G42900	0.13864855666611928
GO:0004843	cysteine-type deubiquitinase activity	molecular_function	1	155	0.07878986636058047	12.691987513007284	0.07587653675088372	AT5G67170	0.13730039983493247
GO:0009737	response to abscisic acid	biological_process	2	909	0.4620644420759203	4.328400581993684	0.0776943731256119	AT3G20810;AT5G42900	0.1383931021299962
GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	molecular_function	1	166	0.0843814052635894	11.850952195880295	0.08104421935412982	AT4G26600	0.1421390924057046
GO:0006812	monoatomic cation transport	biological_process	1	175	0.08895630072968763	11.24147465437788	0.08525151221951602	AT5G21930	0.14725261201552767
GO:0030170	pyridoxal phosphate binding	molecular_function	1	183	0.09302287447733049	10.750044068394148	0.0889756740222005	AT1G16540	0.1513914453512068
GO:0040029	epigenetic regulation of gene expression	biological_process	1	209	0.10623923915716979	9.412718012038896	0.10097814132400378	AT3G20810	0.1692868839843593
GO:0043565	sequence-specific DNA binding	molecular_function	2	1076	0.5469541690579651	3.6566135028180833	0.10342783547401693	AT3G20810;AT5G06950	0.17088077165272364
GO:0006351	DNA-templated transcription	biological_process	1	220	0.11183077806017873	8.942082111436951	0.10600991197589134	AT5G06950	0.17264471378930873
GO:0016607	nuclear speck	cellular_component	1	231	0.11742231696318767	8.516268677559001	0.1110144236578843	AT1G21580	0.17824851122533536
GO:0007623	circadian rhythm	biological_process	1	232	0.11793063868164302	8.479560622914349	0.11146803252094864	AT3G20810	0.17649105149150202
GO:0005730	nucleolus	cellular_component	2	1166	0.5927031237189473	3.374370608089415	0.1181576412109852	AT2G46980;AT4G26600	0.18452015202811387
GO:0010228	vegetative to reproductive phase transition of meristem	biological_process	1	254	0.1291137164876609	7.745110490220981	0.12139094612513265	AT5G42900	0.1870076737603395
GO:0008168	methyltransferase activity	molecular_function	1	264	0.13419693367221447	7.4517350928641255	0.1258658290307704	AT4G26600	0.19131606012677102
GO:0005515	protein binding	molecular_function	7	8510	4.325817824055095	1.6181911223986962	0.13153778805271718	AT1G18660;AT2G46980;AT3G20810;AT3G29185;AT5G06950;AT5G42900;AT5G60120	0.19730668207907576
GO:0005694	chromosome	cellular_component	1	292	0.1484299417889645	6.737185152452497	0.13827847912061766	AT2G46980	0.2047239820746807
GO:0010468	regulation of gene expression	biological_process	1	310	0.15757973272116094	6.345993756503642	0.14616778227185515	AT3G20810	0.21362983562809598
GO:0006396	RNA processing	biological_process	1	353	0.17943756661474133	5.57296902129215	0.16473254998523135	AT4G26600	0.23771532529514394
GO:0006970	response to osmotic stress	biological_process	1	360	0.18299581864392883	5.464605734767026	0.1677175117379614	AT1G16540	0.238997454226595
GO:0000166	nucleotide binding	molecular_function	1	364	0.18502910551775026	5.404555122297058	0.1694185665404122	AT5G21930	0.23844094550132086
GO:0009734	auxin-activated signaling pathway	biological_process	1	387	0.1967205050422235	5.0833541718763025	0.17913453164584367	AT1G16540	0.2490406903369046
GO:0009408	response to heat	biological_process	1	426	0.21654505206198246	4.617976677267908	0.19535859940365552	AT1G16540	0.2683238594218883
GO:0042802	identical protein binding	molecular_function	1	462	0.23484463392637533	4.2581343387795005	0.2100589242224762	AT5G60120	0.2850799685876463
GO:0016787	hydrolase activity	molecular_function	1	555	0.2821185537427236	3.544609125254287	0.2468419434944705	AT5G56650	0.33105860656905456
GO:0046872	metal ion binding	molecular_function	1	616	0.31312617856850045	3.193600754084625	0.2700623486285292	AT5G21930	0.35798962492618985
GO:0003824	catalytic activity	molecular_function	1	620	0.3151594654423219	3.172996878251821	0.2715605483666831	AT1G16540	0.35583795992875716
GO:0003700	DNA-binding transcription factor activity	molecular_function	3	3657	1.8589325243912438	1.613829421260155	0.2839065822448012	AT3G20810;AT5G06950;AT5G60120	0.36778807245349243
GO:0045893	positive regulation of DNA-templated transcription	biological_process	1	768	0.39039107977371484	2.561533938172043	0.32494920635337027	AT5G06950	0.41622707330656417
GO:0009651	response to salt stress	biological_process	1	783	0.3980159055505452	2.5124624067894366	0.3301438556424578	AT1G16540	0.4181822171471132
GO:0042742	defense response to bacterium	biological_process	1	791	0.4020824792981881	2.4870519146853716	0.33289849595145243	AT1G16540	0.4170376762468745
GO:0009535	chloroplast thylakoid membrane	cellular_component	1	841	0.427498565220956	2.3391891373556826	0.3498682629489128	AT5G21930	0.4335324127845224
GO:0003677	DNA binding	molecular_function	2	2451	1.2458965319340822	1.6052697384872532	0.35569721645833824	AT5G06950;AT5G60120	0.4360159427553824
GO:0006355	regulation of DNA-templated transcription	biological_process	3	4195	2.1324096089202262	1.4068591641354915	0.3603041097207151	AT3G20810;AT5G06950;AT5G60120	0.436964558597463
GO:0005794	Golgi apparatus	cellular_component	2	2511	1.2763958350414035	1.5669120386428748	0.3668612254536851	AT3G03810;AT5G56650	0.44023347054442213
GO:0022857	transmembrane transporter activity	molecular_function	1	938	0.47680577191112566	2.09729004745856	0.38160619102591514	AT2G16980	0.45315735184327427
GO:0000976	transcription cis-regulatory region binding	molecular_function	2	2612	1.3277363286053947	1.5063231734426716	0.38550344366260636	AT5G06950;AT5G60120	0.45306590286120746
GO:0009507	chloroplast	cellular_component	5	8296	4.217036976305649	1.185666625190531	0.4163557889389622	AT2G46980;AT3G03810;AT3G29185;AT5G21930;AT5G56650	0.48433224427593563
GO:0061630	ubiquitin protein ligase activity	molecular_function	1	1063	0.5403459867180455	1.8506661002033198	0.42030083894567444	AT5G25560	0.4839827842404736
GO:0016887	ATP hydrolysis activity	molecular_function	1	1096	0.5571206034270723	1.7949434895220155	0.4301186922179993	AT5G21930	0.49033530912851925
GO:0008270	zinc ion binding	molecular_function	1	1162	0.5906698368451259	1.692993170840042	0.4492739504025853	AT5G25560	0.507101290553413
GO:0009570	chloroplast stroma	cellular_component	1	1334	0.6781011724194475	1.474706195289452	0.496311963146204	AT3G29185	0.5547016058692869
GO:0016567	protein ubiquitination	biological_process	1	1367	0.6948757891284743	1.4391061188852443	0.5048809267709219	AT5G25560	0.5588002490474281
GO:0005634	nucleus	cellular_component	10	19659	9.99309666311388	1.0006908105784267	0.5661638981391441	AT1G18660;AT1G21580;AT2G46980;AT3G20810;AT4G26600;AT5G06950;AT5G25560;AT5G42900;AT5G60120;AT5G67170	0.6206027344986773
GO:0055085	transmembrane transport	biological_process	1	1794	0.911929162908912	1.09657640162549	0.6038025081255236	AT2G16980	0.6555570088219971
