sample_name	study_id	is_flight	UMAP1	UMAP2	cluster
GLDS-120_rna_seq_Atha_Col-0_root_FLT_dark_Rep2_GSM2493787_Day13_GLbulkRNAseq	OSD-120	1	-12.260593	23.890587	4
GLDS-120_rna_seq_Atha_Col-0_root_FLT_dark_Rep3_GSM2493788_Day13_GLbulkRNAseq	OSD-120	1	-11.826892	23.27905	4
GLDS-120_rna_seq_Atha_Ws_root_FLT_dark_Rep1_GSM2493789_Day13_GLbulkRNAseq	OSD-120	1	-11.364999	23.64363	4
GLDS-120_rna_seq_Atha_Ws_root_FLT_dark_Rep2_GSM2493790_Day13_GLbulkRNAseq	OSD-120	1	-11.502772	23.75707	4
GLDS-120_rna_seq_Atha_Ws_root_FLT_dark_Rep3_GSM2493791_Day13_GLbulkRNAseq	OSD-120	1	-11.66806	24.001602	4
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_FLT_dark_Rep1_GSM2493792_Day13_GLbulkRNAseq	OSD-120	1	-12.203483	23.66767	4
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_FLT_dark_Rep2_GSM2493793_Day13_GLbulkRNAseq	OSD-120	1	-11.995226	22.940674	4
GLDS-120_rna_seq_Atha_Col-0-PhyD_root_FLT_dark_Rep3_GSM2493794_Day13_GLbulkRNAseq	OSD-120	1	-12.53274	23.281223	4
GLDS-120_rna_seq_Atha_Col-0_root_GC_Alight_Rep3_GSM2493761_Day13_GLbulkRNAseq	OSD-120	0	-12.549963	23.64308	4
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep1_R1-FL-C1_GLbulkRNAseq	OSD-37	1	-18.479794	11.222585	0
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_FLT_Rep1_R1-FL-C2_GLbulkRNAseq	OSD-37	1	-17.762081	11.182539	0
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_FLT_Rep1_R1-FL-C3_GLbulkRNAseq	OSD-37	1	-18.188126	10.749832	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep2_R1-FL-C4_GLbulkRNAseq	OSD-37	1	-18.187042	11.225486	0
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_FLT_Rep2_R1-FL-C5_GLbulkRNAseq	OSD-37	1	-17.843176	10.991335	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep3_R1-FL-D1_GLbulkRNAseq	OSD-37	1	-18.446037	10.735969	0
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_FLT_Rep2_R1-FL-D2_GLbulkRNAseq	OSD-37	1	-17.71424	11.295579	0
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_FLT_Rep3_R1-FL-D3_GLbulkRNAseq	OSD-37	1	-18.020725	10.817671	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep4_R1-FL-D4_GLbulkRNAseq	OSD-37	1	-18.254713	11.499997	0
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_FLT_Rep3_R1-FL-D5_GLbulkRNAseq	OSD-37	1	-17.916115	11.258045	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep1_R1-GC-C1_GLbulkRNAseq	OSD-37	0	-18.514883	11.195869	0
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_GC_Rep1_R1-GC-C2_GLbulkRNAseq	OSD-37	0	-17.964193	10.759444	0
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_GC_Rep1_R1-GC-C3_GLbulkRNAseq	OSD-37	0	-17.763248	10.974033	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep2_R1-GC-C4_GLbulkRNAseq	OSD-37	0	-17.958273	10.687753	0
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_GC_Rep2_R1-GC-C5_GLbulkRNAseq	OSD-37	0	-17.731812	10.746024	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep3_R1-GC-D1_GLbulkRNAseq	OSD-37	0	-18.143902	11.087828	0
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_GC_Rep2_R1-GC-D2_GLbulkRNAseq	OSD-37	0	-17.948238	11.244292	0
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_GC_Rep3_R1-GC-D3_GLbulkRNAseq	OSD-37	0	-17.554007	10.698484	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep4_R1-GC-D4_GLbulkRNAseq	OSD-37	0	-18.330996	10.851334	0
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_GC_Rep3_R1-GC-D5_GLbulkRNAseq	OSD-37	0	-17.662859	10.62948	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep5_R2-FL-C1_GLbulkRNAseq	OSD-37	1	-18.607958	10.757702	0
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_FLT_Rep4_R2-FL-C2_GLbulkRNAseq	OSD-37	1	-18.59829	11.104837	0
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_FLT_Rep4_R2-FL-C3_GLbulkRNAseq	OSD-37	1	-18.735392	10.799321	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep6_R2-FL-C4_GLbulkRNAseq	OSD-37	1	-18.324741	10.558739	0
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_FLT_Rep5_R2-FL-C5_GLbulkRNAseq	OSD-37	1	-18.361616	10.395511	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep7_R2-FL-D1_GLbulkRNAseq	OSD-37	1	-18.305729	10.439547	0
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_FLT_Rep5_R2-FL-D2_GLbulkRNAseq	OSD-37	1	-18.716736	10.689172	0
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_FLT_Rep6_R2-FL-D3_GLbulkRNAseq	OSD-37	1	-18.301954	10.590008	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_FLT_Rep8_R2-FL-D4_GLbulkRNAseq	OSD-37	1	-18.290598	11.464806	0
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_FLT_Rep6_R2-FL-D5_GLbulkRNAseq	OSD-37	1	-17.751957	11.079628	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep5_R2-GC-C1_GLbulkRNAseq	OSD-37	0	-18.109426	10.699435	0
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_GC_Rep4_R2-GC-C2_GLbulkRNAseq	OSD-37	0	-18.10607	10.987238	0
GLDS-37_rna_seq_Atha_Cvi-0_sl-pool_GC_Rep4_R2-GC-C3_GLbulkRNAseq	OSD-37	0	-18.396627	11.087356	0
GLDS-37_rna_seq_Atha_Ws-2_sl-pool_GC_Rep6_R2-GC-C4_GLbulkRNAseq	OSD-37	0	-18.361568	10.976382	0
GLDS-37_rna_seq_Atha_Ler-0_sl-pool_GC_Rep5_R2-GC-C5_GLbulkRNAseq	OSD-37	0	-18.06786	10.364895	0
