sample_name	study_id	condition	is_flight
GLDS-314_rna_seq_21H5_WT_RED_Col0_1g_Rep1	OSD-314	control_gravity	0
GLDS-314_rna_seq_22A6_WT_RED_Col0_1g_Rep2	OSD-314	control_gravity	0
GLDS-314_rna_seq_23B6_WT_RED_Col0_1g_Rep3	OSD-314	control_gravity	0
GLDS-314_rna_seq_30H7_WT_DARK_Col0_1g_Rep1	OSD-314	control_gravity	0
GLDS-314_rna_seq_31A8_WT_DARK_Col0_1g_Rep2	OSD-314	control_gravity	0
GLDS-314_rna_seq_32B8_WT_DARK_Col0_1g_Rep3	OSD-314	control_gravity	0
GLDS-314_rna_seq_05G4_WT_RED_Col0_03g_Rep1	OSD-314	mars_gravity	1
GLDS-314_rna_seq_06H4_WT_RED_Col0_03g_Rep2	OSD-314	mars_gravity	1
GLDS-314_rna_seq_07A5_WT_RED_Col0_03g_Rep3	OSD-314	mars_gravity	1
GLDS-314_rna_seq_13I4_WT_DARK_Col0_03g_Rep1	OSD-314	mars_gravity	1
GLDS-314_rna_seq_14J4_WT_DARK_Col0_03g_Rep2	OSD-314	mars_gravity	1
GLDS-314_rna_seq_15A7_WT_DARK_Col0_03g_Rep3	OSD-314	mars_gravity	1
GLDS-314_rna_seq_JBA1_WT_DARK_Col0_0g_Rep1	OSD-314	microgravity	1
GLDS-314_rna_seq_JBB1_WT_DARK_Col0_0g_Rep2	OSD-314	microgravity	1
GLDS-314_rna_seq_JBH2_WT_RED_Col0_0g_Rep1	OSD-314	microgravity	1
GLDS-314_rna_seq_JBA3_WT_RED_Col0_0g_Rep2	OSD-314	microgravity	1
GLDS-314_rna_seq_JBB3_WT_RED_Col0_0g_Rep3	OSD-314	microgravity	1
GLDS-120_rna_seq_Atha_Col-0_root_GC_Alight_Rep1_GSM2493759_Day13_GLbulkRNAseq	OSD-120	ground_control	0
GLDS-120_rna_seq_Atha_Col-0_root_GC_Alight_Rep2_GSM2493760_Day13_GLbulkRNAseq	OSD-120	ground_control	0
GLDS-120_rna_seq_Atha_Ws_root_GC_Alight_Rep1_GSM2493762_Day13_GLbulkRNAseq	OSD-120	ground_control	0
GLDS-120_rna_seq_Atha_Ws_root_GC_Alight_Rep2_GSM2493763_Day13_GLbulkRNAseq	OSD-120	ground_control	0
GLDS-120_rna_seq_Atha_Ws_root_GC_Alight_Rep3_GSM2493764_Day13_GLbulkRNAseq	OSD-120	ground_control	0
