study1	study2	n_overlap	genes
OSD-314	OSD-120	3	AT1G73930,AT4G12790,AT4G26600
OSD-314	OSD-678	18	AT1G01060,AT1G02850,AT1G09140,AT1G31830,AT1G69840,AT1G80380,AT2G20815,AT2G39190,AT2G45830,AT3G04500,AT3G11470,AT3G13060,AT3G21230,AT4G00060,AT4G16660,AT5G05800,AT5G37850,AT5G57565
OSD-314	OSD-658	2	AT1G28090,AT4G17310
OSD-314	OSD-476	22	AT1G06710,AT1G15860,AT1G28210,AT1G49630,AT2G05210,AT2G27150,AT2G35660,AT2G42365,AT2G45540,AT2G47020,AT2G48020,AT3G03970,AT3G18100,AT3G26670,AT3G45740,AT4G11830,AT4G16660,AT4G17310,AT5G14610,AT5G16980,AT5G24318,AT5G37850
OSD-314	OSD-251	5	AT1G01380,AT2G20815,AT4G17310,AT4G31170,AT5G57565
OSD-120	OSD-678	4	AT4G08460,AT4G39270,AT5G42900,AT5G60120
OSD-120	OSD-658	1	AT1G16540
OSD-120	OSD-476	1	AT5G47455
OSD-37	OSD-678	1	AT4G21400
OSD-37	OSD-476	2	AT1G05785,AT4G21400
OSD-678	OSD-658	2	AT1G11870,AT5G25520
OSD-678	OSD-476	26	AT1G10910,AT1G17350,AT1G72855,AT1G73350,AT1G80860,AT2G20585,AT2G43760,AT3G21250,AT3G21755,AT3G26890,AT3G49430,AT4G11970,AT4G15510,AT4G16660,AT4G21400,AT4G31150,AT4G35785,AT4G37110,AT5G06120,AT5G18245,AT5G37850,AT5G55100,AT5G56140,AT5G57790,AT5G64460,AT5G65685
OSD-678	OSD-251	7	AT2G20815,AT3G08840,AT4G02430,AT5G18245,AT5G52040,AT5G57565,AT5G64460
OSD-658	OSD-476	4	AT1G49980,AT1G67792,AT4G17310,AT5G37370
OSD-658	OSD-251	2	AT1G05870,AT4G17310
OSD-476	OSD-251	12	AT1G67060,AT2G33815,AT2G44280,AT4G17310,AT4G20380,AT4G21750,AT4G27860,AT4G31200,AT5G06265,AT5G18245,AT5G41620,AT5G64460
